Rk.,Team,Venue,Year,Park Factor,wOBAcon,xwOBAcon,BACON,xBACON,HardHit,R,OBP,H,1B,2B,3B,HR,BB,SO,PA
1, Rockies,Coors Field,2023-2025,113,112,101,113,102,101,128,111,117,116,119,202,106,101,90,"56,288"
2, Red Sox,Fenway Park,2023-2025,104,105,100,106,100,101,108,105,107,106,122,94,89,97,97,"56,227"
3, D-backs,Chase Field,2023-2025,103,102,100,102,101,102,106,103,105,103,115,204,88,99,94,"57,721"
4, Reds,Great American Ball Park,2023-2025,103,103,98,101,99,94,106,101,100,96,99,76,123,103,102,"55,320"
5, Twins,Target Field,2023-2025,102,104,101,104,100,101,104,102,102,100,111,98,102,100,103,"56,371"
6, Royals,Kauffman Stadium,2023-2025,101,98,102,99,102,103,102,102,104,103,113,183,85,100,89,"55,376"
7, Braves,Truist Park,2023-2025,101,103,103,103,103,103,102,100,102,103,94,91,104,99,106,"56,173"
8, Angels,Angel Stadium,2023-2025,101,102,100,101,99,99,102,100,98,97,90,98,113,103,105,"54,974"
9, Nationals,Nationals Park,2023-2025,101,99,101,100,101,101,102,102,104,108,98,99,94,94,90,"54,850"
10, Marlins,loanDepot park,2023-2025,101,100,101,102,101,100,102,101,103,104,107,118,90,97,98,"56,374"
11, Dodgers,Dodger Stadium,2023-2025,101,101,102,98,101,101,102,99,97,92,96,64,127,101,100,"60,077"
12, Phillies,Citizens Bank Park,2023-2025,101,103,99,101,99,100,102,99,100,99,96,100,114,96,104,"56,467"
13, Cardinals,Busch Stadium,2023-2025,100,97,101,99,101,102,100,101,103,107,105,81,87,96,91,"54,813"
14, Blue Jays,Rogers Centre,2023-2025,100,99,99,98,99,100,100,100,99,97,104,70,104,100,98,"56,748"
15, Yankees,Yankee Stadium,2023-2025,100,99,102,97,100,104,100,99,94,91,90,63,119,112,102,"59,150"
16, Tigers,Comerica Park,2023-2025,100,100,100,100,100,99,100,100,100,100,95,144,99,100,98,"55,223"
17, Orioles,Oriole Park at Camden Yards,2023-2025,100,101,102,101,101,105,100,99,103,103,97,120,105,91,99,"55,203"
18, Astros,Daikin Park,2023-2025,100,101,98,100,99,98,100,100,100,100,96,89,105,100,102,"55,530"
19, White Sox,Rate Field,2023-2025,99,98,98,99,99,97,98,100,98,101,92,70,96,103,100,"57,073"
20, Pirates,PNC Park,2023-2025,99,97,101,100,101,102,98,101,101,102,115,84,76,100,96,"55,793"
21, Mets,Citi Field,2023-2025,98,97,100,96,99,101,96,99,94,93,89,72,104,110,103,"56,893"
22, Brewers,American Family Field,2023-2025,97,99,98,98,99,96,94,97,94,94,87,89,106,106,109,"57,290"
23, Giants,Oracle Park,2023-2025,97,96,97,99,98,99,94,97,101,104,102,122,82,90,98,"55,020"
24, Rangers,Globe Life Field,2023-2025,97,97,100,96,98,102,94,97,97,97,95,74,104,100,101,"56,373"
25, Cubs,Wrigley Field,2023-2025,97,97,100,97,100,100,94,97,96,98,86,116,99,100,103,"55,805"
26, Padres,Petco Park,2023-2025,97,97,99,97,99,98,94,98,96,97,92,64,102,103,102,"56,903"
27, Guardians,Progressive Field,2023-2025,97,96,98,98,100,96,94,98,97,98,106,72,85,100,102,"55,642"
28, Mariners,T-Mobile Park,2023-2025,91,94,99,94,99,98,83,92,89,89,89,52,93,97,117,"55,327"
