Name,Team,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,IFH,IFH%,BUH,BUH%,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,NameASCII,PlayerId,MLBAMID
"Zach Green","SFG",0.333333333,4,0.166666666,0.666666666,0.166666666,0,0,1,0.25,0,0,0.5,0.33333333,0.16666667,0,0.33333333,0.66666667,"Zach Green",14973,608339
"Colton Welker","COL",0.166666666,0,0.666666666,0,0.333333333,0,0,0,0,0,0,0.16666667,0.5,0.33333333,0,0.33333333,0.66666667,"Colton Welker",19961,666213
"Yoenis Cespedes","NYM",0,0.666666666,0,0.4,0.6,0,0,1,0.5,0,0,0.8,0,0.2,0.4,0,0.6,"Yoenis Cespedes",13110,493316
"Kendrys Morales","- - -",0.238095238,3,0.238095238,0.571428571,0.19047619,0,0,0,0,0,0,0.52380952,0.33333333,0.14285714,0,0.42857143,0.57142857,"Kendrys Morales",8610,434778
"Tyler Saladino","MIL",0.125,0.4,0.222222222,0.222222222,0.555555555,0,0.2,0,0,0,0,0.66666667,0.11111111,0.22222222,0.11111111,0.33333333,0.55555556,"Tyler Saladino",10807,573135
"Michael Lorenzen","CIN",0.333333333,3,0.111111111,0.666666666,0.222222222,0,0,0,0,0,0,0.33333333,0.55555556,0.11111111,0.11111111,0.33333333,0.55555556,"Michael Lorenzen",14843,547179
"Drew Romo","COL",0.272727272,1.5,0.09090909,0.545454545,0.363636363,0,0,2,0.333333333,0,0,0.45454545,0.36363636,0.18181818,0.09090909,0.36363636,0.54545455,"Drew Romo",27763,691011
"Tyler Locklear","- - -",0.166666666,1.454545454,0,0.592592592,0.407407407,0,0.272727272,0,0,0,0,0.62962963,0.22222222,0.14814815,0.11111111,0.37037037,0.51851852,"Tyler Locklear",31396,682988
"Edwin Rios","- - -",0.166666666,0.5,0.057142857,0.314285714,0.628571428,0,0.227272727,1,0.09090909,0,0,0.37142857,0.28571429,0.34285714,0.02857143,0.45714286,0.51428571,"Edwin Rios",18316,621458
"Otto Kemp","PHI",0.314285714,0.933333333,0.256410256,0.358974358,0.384615384,0,0.266666666,2,0.142857142,0,0,0.38461538,0.30769231,0.30769231,0.1025641,0.38461538,0.51282051,"Otto Kemp",31792,805249
"David Freese","LAD",0.363636363,1.391304347,0.225352112,0.450704225,0.323943661,0.086956521,0.217391304,1,0.03125,0,0,0.33802817,0.33802817,0.32394366,0.08450704,0.4084507,0.50704225,"David Freese",9549,501896
"Aaron Judge","NYY",0.338785046,0.855855855,0.188976377,0.374015748,0.437007874,0.04054054,0.36036036,10,0.052631578,0,0,0.42716535,0.33464567,0.23818898,0.06889764,0.42716535,0.50393701,"Aaron Judge",15640,592450
"Eric Thames","- - -",0.244444444,0.583333333,0.208333333,0.291666666,0.5,0.166666666,0.125,0,0,0,0,0.27083333,0.52083333,0.20833333,0.1875,0.3125,0.5,"Eric Thames",3711,519346
"Hanley Ramirez","CLE",0.3,3,0.2,0.6,0.2,0.5,0,0,0,0,0,0.4,0.5,0.1,0.3,0.2,0.5,"Hanley Ramirez",8001,434670
"Chris Iannetta","COL",0.264705882,1.083333333,0.305555555,0.361111111,0.333333333,0,0.166666666,0,0,0,0,0.30555556,0.52777778,0.16666667,0.08333333,0.41666667,0.5,"Chris Iannetta",8267,455104
"John Ryan Murphy","- - -",0.285714285,0.285714285,0.4375,0.125,0.4375,0.285714285,0.285714285,0,0,0,0,0.4375,0.4375,0.125,0.1875,0.3125,0.5,"John Ryan Murphy",10346,571974
"Jack Flaherty","STL",0.222222222,1,0.5,0.25,0.25,0,0.5,0,0,0,0,0.33333333,0.33333333,0.33333333,0.16666667,0.33333333,0.5,"Jack Flaherty",17479,656427
