Name,Team,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,IFH,IFH%,BUH,BUH%,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,NameASCII,PlayerId,MLBAMID
"Jarrett Parker","LAA",0,1,0,0.5,0.5,0,0,0,0,0,0,0.25,0.25,0.5,0,0.25,0.75,"Jarrett Parker",11624,592620
"Nick Plummer","NYM",0.285714285,0.666666666,0.444444444,0.222222222,0.333333333,0,0.666666666,0,0,0,0,0.44444444,0.44444444,0.11111111,0.11111111,0.22222222,0.66666667,"Nick Plummer",18690,663911
"Ryan Aguilar","LAA",0.333333333,0.5,0.333333333,0.222222222,0.444444444,0,0,0,0,0,0,0.55555556,0.33333333,0.11111111,0.11111111,0.22222222,0.66666667,"Ryan Aguilar",19967,666922
"Mark Trumbo","BAL",0.25,2,0.25,0.5,0.25,0,0,0,0,0,0,0.375,0.5,0.125,0.125,0.25,0.625,"Mark Trumbo",6876,444432
"Ryan Court","SEA",0,1,0.2,0.4,0.4,0,0.5,0,0,0,0,0.4,0,0.6,0.4,0,0.6,"Ryan Court",12268,606956
"Nick Ciuffo","- - -",0.285714285,0.666666666,0.166666666,0.333333333,0.5,0,0,0,0,1,1,0.42857143,0.28571429,0.28571429,0.14285714,0.28571429,0.57142857,"Nick Ciuffo",16291,624419
"Maximo Acosta","MIA",0.208333333,1.166666666,0.037037037,0.518518518,0.444444444,0,0.25,1,0.071428571,0,0,0.48148148,0.37037037,0.14814815,0.14814815,0.2962963,0.55555556,"Maximo Acosta",27963,691185
"Carter Jensen","KCR",0.393939393,1.25,0.25,0.416666666,0.333333333,0,0.25,0,0,0,0,0.47222222,0.30555556,0.22222222,0.05555556,0.38888889,0.55555556,"Carter Jensen",29478,695600
"Peter Bourjos","LAA",0.153846153,0.571428571,0.153846153,0.307692307,0.538461538,0,0,0,0,0,0,0.38461538,0.38461538,0.23076923,0,0.46153846,0.53846154,"Peter Bourjos",2578,488721
"Kevin Kramer","PIT",0.285714285,0.666666666,0.285714285,0.285714285,0.428571428,0.222222222,0,0,0,0,0,0.23809524,0.47619048,0.28571429,0.19047619,0.28571429,0.52380952,"Kevin Kramer",17689,596012
"Jose Lobatón","CHC",0,2,0.25,0.5,0.25,0,0,0,0,0,0,0.5,0,0.5,0,0.5,0.5,"Jose Lobaton",4243,446653
"Ryan Flaherty","CLE",0.272727272,3,0.272727272,0.545454545,0.181818181,0.5,0,0,0,0,0,0.58333333,0.33333333,0.08333333,0.08333333,0.41666667,0.5,"Ryan Flaherty",7888,475247
"Taylor Davis","CHC",0.222222222,3,0.2,0.6,0.2,0,0.5,0,0,0,0,0.4,0.2,0.4,0.1,0.4,0.5,"Taylor Davis",12782,543089
"Alex Young","ARI",0.25,4,0,1,0,0,0,1,0.25,0,0,0,0.5,0.5,0.5,0,0.5,"Alex Young",18333,622065
"Bryce Eldridge","SFG",0.214285714,1,0,0.5,0.5,0,0,0,0,0,0,0.42857143,0.42857143,0.14285714,0.07142857,0.42857143,0.5,"Bryce Eldridge",33390,805811
"Luken Baker","STL",0.211538461,0.8,0.166666666,0.37037037,0.462962962,0.2,0.08,1,0.05,0,0,0.44444444,0.31481481,0.24074074,0.12962963,0.38888889,0.48148148,"Luken Baker",21497,663609
"Logan Forsythe","- - -",0.302631578,1.346153846,0.227848101,0.443037974,0.329113924,0.076923076,0.115384615,5,0.071428571,0,0,0.44936709,0.3164557,0.23417722,0.14556962,0.37341772,0.48101266,"Logan Forsythe",7185,523253
"Tim Federowicz","TEX",0.157894736,0.5,0.217391304,0.260869565,0.52173913,0.25,0.333333333,1,0.166666666,0,0,0.73913043,0.17391304,0.08695652,0.17391304,0.34782609,0.47826087,"Tim Federowicz",8609,543148
"Miguel Sanó","- - -",0.283292978,0.834123222,0.185263157,0.370526315,0.444210526,0.127962085,0.293838862,9,0.051136363,0,0,0.52,0.27789474,0.20210526,0.12842105,0.39368421,0.47789474,"Miguel Sano",12164,593934
"Aaron Judge","NYY",0.348474095,0.840707964,0.226765799,0.353159851,0.420074349,0.053097345,0.302359882,39,0.068421052,0,0,0.4039653,0.35254027,0.24349442,0.08983891,0.43246592,0.47769517,"Aaron Judge",15640,592450
"Tyler Flowers","ATL",0.380597014,1.270833333,0.248275862,0.420689655,0.331034482,0.145833333,0.229166666,6,0.098360655,0,0,0.42758621,0.37931034,0.19310345,0.13793103,0.3862069,0.47586207,"Tyler Flowers",9134,452095
"Roman Anthony","BOS",0.389830508,1.538461538,0.18852459,0.491803278,0.319672131,0.025641025,0.102564102,2,0.033333333,0,0,0.43442623,0.35245902,0.21311475,0.05737705,0.46721311,0.47540984,"Roman Anthony",31812,701350
"Justin Smoak","- - -",0.215517241,0.861111111,0.21484375,0.36328125,0.421875,0.074074074,0.222222222,2,0.021505376,0,0,0.51953125,0.30859375,0.171875,0.1171875,0.41015625,0.47265625,"Justin Smoak",9054,475253
"Alex Avila","- - -",0.302325581,1.525,0.273381294,0.43884892,0.287769784,0.025,0.25,3,0.049180327,0,0,0.45,0.36428571,0.18571429,0.08571429,0.44285714,0.47142857,"Alex Avila",7476,488671
"Dalton Rushing","LAD",0.316666666,0.75,0.234375,0.328125,0.4375,0.142857142,0.142857142,4,0.19047619,0,0,0.53125,0.265625,0.203125,0.203125,0.328125,0.46875,"Dalton Rushing",31382,687221
"Nick Kurtz","ATH",0.427672955,0.986666666,0.198924731,0.397849462,0.403225806,0.026666666,0.36,3,0.04054054,0,0,0.37096774,0.38709677,0.24193548,0.05913978,0.47311828,0.46774194,"Nick Kurtz",35110,701762
"DJ Peters","- - -",0.268292682,0.708333333,0.108695652,0.369565217,0.52173913,0.0625,0.208333333,4,0.117647058,0,0,0.44565217,0.31521739,0.23913043,0.20652174,0.32608696,0.4673913,"DJ Peters",19348,656847
"Jason Castro","- - -",0.302040816,0.885714285,0.261194029,0.347014925,0.391791044,0.028571428,0.219047619,7,0.075268817,0,0,0.42379182,0.33457249,0.24163569,0.0929368,0.44237918,0.46468401,"Jason Castro",8722,488771
"Gordon Beckham","DET",0.302752293,0.954545454,0.252173913,0.365217391,0.382608695,0.136363636,0.136363636,3,0.071428571,0,0,0.53043478,0.24347826,0.22608696,0.16521739,0.37391304,0.46086957,"Gordon Beckham",9015,493596
"Sean Bouchard","COL",0.34065934,1.393939393,0.168421052,0.484210526,0.347368421,0.03030303,0.121212121,3,0.065217391,0,0,0.41666667,0.36458333,0.21875,0.10416667,0.4375,0.45833333,"Sean Bouchard",21270,656248
"Logan Morrison","- - -",0.21875,0.8125,0.171428571,0.371428571,0.457142857,0.125,0.1875,0,0,0,0,0.28571429,0.54285714,0.17142857,0.17142857,0.37142857,0.45714286,"Logan Morrison",9205,489149
"Rece Hinds","CIN",0.310344827,0.875,0.142857142,0.4,0.457142857,0,0.375,2,0.142857142,0,0,0.57142857,0.22857143,0.2,0.05714286,0.48571429,0.45714286,"Rece Hinds",27493,677956
"Eric Thames","- - -",0.315789473,0.848,0.206185567,0.364261168,0.429553264,0.088,0.2,5,0.047169811,0,0,0.43298969,0.34707904,0.21993127,0.14089347,0.40206186,0.45704467,"Eric Thames",3711,519346
"Shin-Soo Choo","TEX",0.341853035,1.417475728,0.243161094,0.443768996,0.313069908,0.029126213,0.213592233,4,0.02739726,3,0.5,0.3880597,0.37313433,0.23880597,0.11641791,0.42686567,0.45671642,"Shin-Soo Choo",3174,425783
