"player","player_id","team_abbrev","year","type","avg_hr_trot","doubters","mostly_gone","no_doubters","no_doubter_per","hr_total","xhr","xhr_diff"
"Judge, Aaron","592450","NYY","2022","adj_xhr","23.8",12,32,37,"57.8","64",63.7,"0.3"
"Schwarber, Kyle","656941","PHI","2022","adj_xhr","24.19",14,29,23,"44.2","52",48.7,"3.3"
"Alonso, Pete","624413","NYM","2022","adj_xhr","24.38",10,27,19,"46.3","41",38.9,"2.1"
"Trout, Mike","545361","LAA","2022","adj_xhr","25.34",5,28,14,"35","40",35,"5.0"
"Alvarez, Yordan","670541","HOU","2022","adj_xhr","25.83",13,32,15,"37.5","40",38,"2.0"
"Riley, Austin","663586","ATL","2022","adj_xhr","21.67",13,19,22,"57.9","38",37,"1.0"
"Olson, Matt","621566","ATL","2022","adj_xhr","24.65",12,37,6,"16.7","36",34.6,"1.4"
"Walker, Christian","572233","AZ","2022","adj_xhr","25.69",15,19,20,"55.6","36",35.4,"0.6"
"Machado, Manny","592518","SD","2022","adj_xhr","27.32",11,27,12,"33.3","36",34.1,"1.9"
"Hoskins, Rhys","656555","PHI","2022","adj_xhr","22.96",8,26,9,"25","36",30.2,"5.8"
"Betts, Mookie","605141","LAD","2022","adj_xhr","21.99",20,30,6,"17.1","35",29,"6.0"
"Tellez, Rowdy","642133","MIL","2022","adj_xhr","26.92",6,30,11,"31.4","35",30.2,"4.8"
"Goldschmidt, Paul","502671","STL","2022","adj_xhr","23.22",10,22,15,"42.9","35",33.9,"1.1"
"Ohtani, Shohei","660271","LAA","2022","adj_xhr","22.83",10,33,9,"26.5","34",34.1,"-0.1"
"Rizzo, Anthony","519203","NYY","2022","adj_xhr","25.19",12,20,13,"38.2","34",29.5,"4.5"
"Stanton, Giancarlo","519317","NYY","2022","adj_xhr","24.1",8,20,13,"39.4","33",28.8,"4.2"
"Seager, Corey","608369","TEX","2022","adj_xhr","20.81",13,28,6,"18.2","33",26.9,"6.1"
"Tucker, Kyle","663656","HOU","2022","adj_xhr","24.8",4,26,13,"39.4","33",32.5,"0.5"
"Santander, Anthony","623993","BAL","2022","adj_xhr","27.35",14,25,14,"42.4","33",33.3,"-0.3"
"Suárez, Eugenio","553993","SEA","2022","adj_xhr","26.72",10,25,12,"37.5","32",30.5,"1.5"
"Guerrero Jr., Vladimir","665489","TOR","2022","adj_xhr","28.88",12,17,14,"43.8","32",27.6,"4.4"
"Adames, Willy","642715","MIL","2022","adj_xhr","25.25",15,21,8,"25.8","31",25.6,"5.4"
"Arenado, Nolan","571448","STL","2022","adj_xhr","21.1",15,22,12,"40","30",29.4,"0.6"
"Ramírez, José","608070","CLE","2022","adj_xhr","24.64",9,22,11,"36.7","30",28.4,"1.6"
"Soto, Juan","665742","SD","2022","adj_xhr","27.69",7,24,12,"41.4","29",29,"0.0"
"Cron, C.J.","543068","COL","2022","adj_xhr","24",12,13,13,"44.8","29",25.2,"3.8"
"Renfroe, Hunter","592669","MIL","2022","adj_xhr","25.23",6,20,11,"37.9","29",26.4,"2.6"
"Drury, Brandon","592273","SD","2022","adj_xhr","23.55",8,23,7,"24.1","29",23.7,"5.3"
"Rodríguez, Julio","677594","SEA","2022","adj_xhr","22.91",8,17,13,"46.4","28",27,"1.0"
"Buxton, Byron","621439","MIN","2022","adj_xhr","23.29",6,15,13,"46.4","28",26.4,"1.6"
"Raleigh, Cal","663728","SEA","2022","adj_xhr","21.69",9,18,13,"46.4","28",26.9,"1.1"
"Altuve, Jose","514888","HOU","2022","adj_xhr","25.21",8,22,9,"32.1","28",24.4,"3.6"
"Varsho, Daulton","662139","AZ","2022","adj_xhr","20.55",8,25,8,"29.6","27",26.6,"0.4"
"Chapman, Matt","656305","TOR","2022","adj_xhr","23.55",11,21,10,"37","27",27.5,"-0.5"
"Lowe, Nathaniel","663993","TEX","2022","adj_xhr","21.37",10,20,10,"37","27",23.9,"3.1"
"Devers, Rafael","646240","BOS","2022","adj_xhr","28.78",12,21,12,"44.4","27",28.6,"-1.6"
"Reynolds, Bryan","668804","PIT","2022","adj_xhr","23.85",8,17,9,"33.3","27",23.3,"3.7"
"García, Adolis","666969","TEX","2022","adj_xhr","27.23",16,15,14,"51.9","27",26.9,"0.1"
"Lindor, Francisco","596019","NYM","2022","adj_xhr","24.5",13,13,15,"55.6","27",25.1,"1.9"
"Hernández, Teoscar","606192","TOR","2022","adj_xhr","25.13",8,22,10,"37","27",26.4,"0.6"
"Semien, Marcus","543760","TEX","2022","adj_xhr","23.01",16,21,7,"26.9","26",23.7,"2.3"
"Peña, Jeremy","665161","HOU","2022","adj_xhr","23.13",9,20,8,"30.8","26",23.2,"2.8"
"Bregman, Alex","608324","HOU","2022","adj_xhr","23.33",15,19,6,"23.1","26",22,"4.0"
"Brown, Seth","664913","ATH","2022","adj_xhr","21.58",7,18,8,"32","25",23,"2.0"
"Swanson, Dansby","621020","ATL","2022","adj_xhr","22.82",15,21,10,"40","25",26.5,"-1.5"
"Springer, George","543807","TOR","2022","adj_xhr","22.24",8,23,4,"16","25",21.4,"3.6"
"Wisdom, Patrick","621550","CHC","2022","adj_xhr","22.56",3,22,9,"36","25",25.1,"-0.1"
"Realmuto, J.T.","592663","PHI","2022","adj_xhr","22.06",16,21,6,"24","25",22.7,"2.3"
"Torres, Gleyber","650402","NYY","2022","adj_xhr","24.39",12,26,4,"16.7","24",24.5,"-0.5"
"Harper, Bryce","547180","PHI","2022","adj_xhr","25.59",7,13,15,"62.5","24",25.2,"-1.2"
"Bichette, Bo","666182","TOR","2022","adj_xhr","25.31",12,15,8,"33.3","24",18.2,"5.8"
"Pujols, Albert","405395","STL","2022","adj_xhr","26.32",9,16,12,"50","24",24.1,"-0.1"
"Smith, Will","669257","LAD","2022","adj_xhr","22.6",13,15,9,"37.5","24",20.4,"3.6"
"Ozuna, Marcell","542303","ATL","2022","adj_xhr","28.37",6,12,13,"56.5","23",21.5,"1.5"
"Ward, Taylor","621493","LAA","2022","adj_xhr","23.16",15,19,4,"17.4","23",18.9,"4.1"
"Pederson, Joc","592626","SF","2022","adj_xhr","27.14",12,13,13,"56.5","23",24,"-1.0"
"Perez, Salvador","521692","KC","2022","adj_xhr","26.68",9,15,8,"34.8","23",21.8,"1.2"
"Turner, Trea","607208","LAD","2022","adj_xhr","22.93",11,18,7,"30.4","23",21.3,"1.7"
"Correa, Carlos","621043","MIN","2022","adj_xhr","26.43",9,20,10,"45.5","22",25.3,"-3.3"
"Mountcastle, Ryan","663624","BAL","2022","adj_xhr","24.12",12,22,9,"40.9","22",27.2,"-5.2"
