"last_name, first_name","player_id","team_name_alt","pitch_type","pitch_name","run_value_per_100","run_value","pitches","pitch_usage","pa","ba","slg","woba","whiff_percent","k_percent","put_away","est_ba","est_slg","est_woba","hard_hit_percent"
"Bregman, Alex",608324,"HOU","FF","4-Seam Fastball",0.7,6,"914",32.8,"282","0.278","0.444","0.374",9.8,8.9,10.7,"0.281","0.484","0.385",40.8
"Kwan, Steven",680757,"CLE","FF","4-Seam Fastball",-0.1,-1,"1199",42.2,"270","0.296","0.383","0.361",7.2,8.5,7.9,"0.293","0.373","0.345",16.7
"Crawford, J.P.",641487,"SEA","FF","4-Seam Fastball",1.5,16,"1019",38.8,"265","0.313","0.517","0.434",13.9,14.7,14.5,"0.3","0.467","0.401",40.2
"Lowe, Nathaniel",663993,"TEX","FF","4-Seam Fastball",0.6,8,"1233",40.5,"261","0.295","0.47","0.391",21.4,27.2,19.3,"0.267","0.406","0.357",50.7
"Semien, Marcus",543760,"TEX","FF","4-Seam Fastball",-0.4,-3,"889",31.8,"261","0.232","0.438","0.348",10.1,9.2,11.4,"0.263","0.496","0.369",43.6
"Nimmo, Brandon",607043,"NYM","FF","4-Seam Fastball",0.2,2,"1146",40.3,"239","0.27","0.47","0.379",19.2,23,16.4,"0.257","0.468","0.368",53.4
"Devers, Rafael",646240,"BOS","FF","4-Seam Fastball",1,10,"1034",40.1,"236","0.263","0.507","0.379",31.8,26.7,17.4,"0.243","0.539","0.374",65
"Schwarber, Kyle",656941,"PHI","FF","4-Seam Fastball",0.5,5,"972",31.7,"235","0.23","0.541","0.38",25.4,26.8,24,"0.227","0.541","0.378",53
"Arraez, Luis",650333,"MIA","FF","4-Seam Fastball",0.4,4,"819",37.9,"231","0.346","0.472","0.38",6.7,4.8,6.1,"0.325","0.463","0.363",26
"McNeil, Jeff",643446,"NYM","FF","4-Seam Fastball",-0.8,-7,"822",37.5,"230","0.25","0.373","0.324",6.5,7,9,"0.225","0.334","0.289",29.6
"Happ, Ian",664023,"CHC","FF","4-Seam Fastball",-0.2,-3,"1088",38,"226","0.191","0.348","0.334",22.4,21.7,14.4,"0.205","0.369","0.339",40.8
"Goldschmidt, Paul",502671,"STL","FF","4-Seam Fastball",0.4,4,"923",32.4,"225","0.241","0.445","0.353",25.3,24.4,18.2,"0.266","0.527","0.388",56.9
"Suárez, Eugenio",553993,"SEA","FF","4-Seam Fastball",0.1,1,"945",32.6,"225","0.241","0.461","0.358",32,28.9,21.4,"0.248","0.586","0.397",53.5
"Olson, Matt",621566,"ATL","FF","4-Seam Fastball",2.2,24,"1120",36.2,"224","0.324","0.659","0.468",27.5,19.6,13.1,"0.298","0.607","0.434",69.5
"Marte, Ketel",606466,"AZ","FF","4-Seam Fastball",0.9,8,"805",32.4,"223","0.293","0.425","0.376",12.1,12.6,12.9,"0.283","0.428","0.372",40.8
"García, Adolis",666969,"TEX","FF","4-Seam Fastball",0.3,2,"932",36.4,"223","0.204","0.515","0.337",33.9,36.8,26.9,"0.209","0.501","0.336",50.8
"Torkelson, Spencer",679529,"DET","FF","4-Seam Fastball",0.7,6,"863",30.9,"222","0.266","0.527","0.388",20.7,21.6,20,"0.27","0.589","0.406",59.4
"Freeman, Freddie",518692,"LAD","FF","4-Seam Fastball",2.4,21,"846",30.8,"222","0.353","0.638","0.436",16.6,14,14.1,"0.335","0.643","0.423",46.6
"Santander, Anthony",623993,"BAL","FF","4-Seam Fastball",1,10,"1008",36.5,"220","0.263","0.556","0.378",26.2,30.9,20.2,"0.211","0.455","0.319",50.8
"Lindor, Francisco",596019,"NYM","FF","4-Seam Fastball",1.2,11,"928",33.9,"218","0.262","0.519","0.376",20.1,14.7,12.4,"0.244","0.476","0.358",45.2
"McKinstry, Zach",656716,"DET","FF","4-Seam Fastball",-1.2,-11,"872",41.6,"218","0.245","0.346","0.314",14.5,13.8,12.6,"0.275","0.441","0.355",37.5
"Abrams, CJ",682928,"WSH","FF","4-Seam Fastball",-1.8,-13,"740",33.5,"217","0.218","0.33","0.283",16.3,14.7,16.2,"0.244","0.419","0.316",37.1
"Tucker, Kyle",663656,"HOU","FF","4-Seam Fastball",2.4,20,"845",32.9,"216","0.339","0.585","0.441",15.1,13.4,13.6,"0.323","0.647","0.45",56.8
"Rutschman, Adley",668939,"BAL","FF","4-Seam Fastball",1.6,16,"1020",35.1,"216","0.328","0.578","0.436",12.5,10.6,8.2,"0.303","0.562","0.416",49.7
"Varsho, Daulton",662139,"TOR","FF","4-Seam Fastball",-0.6,-5,"811",35.1,"215","0.233","0.451","0.336",23.1,22.8,19.6,"0.214","0.406","0.306",42.1
"Riley, Austin",663586,"ATL","FF","4-Seam Fastball",0.1,1,"914",32,"213","0.247","0.474","0.35",29.6,30,20.7,"0.222","0.492","0.333",56.6
"Albies, Ozzie",645277,"ATL","FF","4-Seam Fastball",1.5,13,"859",33.5,"213","0.301","0.602","0.416",19.1,15.5,13.9,"0.278","0.561","0.392",50.3
"Noda, Ryan",676116,"ATH","FF","4-Seam Fastball",1,9,"869",41.6,"212","0.273","0.424","0.383",34.2,35.4,28.7,"0.221","0.417","0.353",49.5
"Turner, Justin",457759,"BOS","FF","4-Seam Fastball",-0.6,-6,"982",36.8,"212","0.234","0.38","0.322",15.8,18.9,12.2,"0.245","0.477","0.352",46.2
"Giménez, Andrés",665926,"CLE","FF","4-Seam Fastball",-0.1,-1,"829",35.3,"210","0.266","0.457","0.354",26.6,19,15.4,"0.225","0.389","0.309",35.6
"Ramírez, José",608070,"CLE","FF","4-Seam Fastball",0.4,4,"878",33.7,"210","0.275","0.495","0.373",10.8,9,8.2,"0.304","0.546","0.403",43.9
"Witt Jr., Bobby",677951,"KC","FF","4-Seam Fastball",0.4,4,"909",33.7,"210","0.271","0.521","0.367",22.8,24.8,18.5,"0.273","0.543","0.377",55.1
"Heim, Jonah",641680,"TEX","FF","4-Seam Fastball",0.4,4,"874",43.8,"209","0.251","0.46","0.344",24.4,23.4,17.9,"0.231","0.446","0.326",40.3
"Friedl, TJ",670770,"CIN","FF","4-Seam Fastball",1.7,14,"802",36.6,"209","0.333","0.589","0.427",8.6,9.6,9.3,"0.274","0.388","0.332",28.5
"Stott, Bryson",681082,"PHI","FF","4-Seam Fastball",-0.4,-4,"1104",41.4,"208","0.284","0.426","0.349",14.5,16.8,9.9,"0.263","0.425","0.334",41.4
"Bogaerts, Xander",593428,"SD","FF","4-Seam Fastball",-0.6,-5,"758",28.7,"208","0.259","0.384","0.327",13.4,12.5,12,"0.251","0.436","0.332",41
"Bellinger, Cody",641355,"CHC","FF","4-Seam Fastball",0.9,6,"759",35.2,"207","0.294","0.5","0.384",21.4,19.8,17.6,"0.241","0.422","0.325",34
"Benintendi, Andrew",643217,"CWS","FF","4-Seam Fastball",-0.7,-6,"859",36.5,"207","0.255","0.342","0.32",19.2,13.5,13.6,"0.288","0.449","0.357",35.3
"Soto, Juan",665742,"SD","FF","4-Seam Fastball",2,16,"830",28.7,"206","0.275","0.617","0.426",18.7,18.9,17.3,"0.282","0.647","0.438",63.4
"Reynolds, Bryan",668804,"PIT","FF","4-Seam Fastball",0,0,"791",31.4,"206","0.258","0.455","0.363",19,16,14.2,"0.281","0.511","0.381",53.4
"Straw, Myles",664702,"CLE","FF","4-Seam Fastball",-1.6,-13,"838",42.1,"205","0.237","0.282","0.287",14.9,21,17.6,"0.234","0.302","0.286",31.2
"Betts, Mookie",605141,"LAD","FF","4-Seam Fastball",2.1,18,"857",31.6,"205","0.304","0.643","0.444",10.6,11.2,10.4,"0.295","0.656","0.444",54.4
"Bell, Josh",605137,"MIA","FF","4-Seam Fastball",1.4,10,"768",31.6,"204","0.316","0.542","0.414",20.9,19.1,19.4,"0.303","0.567","0.409",51.1
"McMahon, Ryan",641857,"COL","FF","4-Seam Fastball",0.6,7,"1161",42.3,"204","0.246","0.455","0.374",30.4,32.8,17.9,"0.243","0.48","0.376",51
"Melendez, MJ",669004,"KC","FF","4-Seam Fastball",-0.2,-2,"909",37.3,"204","0.246","0.425","0.355",37.8,29.4,22.5,"0.23","0.477","0.362",59.1
"Santana, Carlos",467793,"MIL","FF","4-Seam Fastball",1,7,"765",31.1,"203","0.304","0.533","0.399",19.8,15.3,14.3,"0.274","0.47","0.351",39
"France, Ty",664034,"SEA","FF","4-Seam Fastball",-0.1,-1,"795",32.8,"201","0.212","0.352","0.325",18.9,18.9,14.5,"0.236","0.416","0.352",43.3
"Hoerner, Nico",663538,"CHC","FF","4-Seam Fastball",1.2,8,"670",26.4,"201","0.307","0.47","0.404",6.9,8.5,8.9,"0.281","0.409","0.364",40.7
"Acuña Jr., Ronald",660670,"ATL","FF","4-Seam Fastball",1.8,15,"843",30.3,"201","0.292","0.595","0.429",17.8,12.4,10.8,"0.318","0.628","0.444",58.2
"Taveras, Leody",665750,"TEX","FF","4-Seam Fastball",0.3,3,"765",36.3,"200","0.289","0.5","0.359",18.7,19.5,16.2,"0.283","0.486","0.363",58.2
"Yoshida, Masataka",807799,"BOS","FF","4-Seam Fastball",1.5,11,"713",32.5,"200","0.37","0.558","0.445",9.7,9.5,11.9,"0.319","0.497","0.383",47.5
"Verdugo, Alex",657077,"BOS","FF","4-Seam Fastball",-0.4,-3,"863",36.5,"198","0.285","0.506","0.382",9,11.6,12.8,"0.3","0.517","0.387",47.4
"Yelich, Christian",592885,"MIL","FF","4-Seam Fastball",1.4,12,"812",31.7,"197","0.331","0.589","0.448",20.4,18.8,16.9,"0.323","0.567","0.434",53.5
"Raleigh, Cal",663728,"SEA","FF","4-Seam Fastball",0.1,1,"856",36.6,"197","0.214","0.434","0.333",24.9,29.9,23,"0.214","0.459","0.332",47.4
"Chapman, Matt",656305,"TOR","FF","4-Seam Fastball",0.3,2,"873",35.6,"197","0.227","0.453","0.332",35,29.4,19.5,"0.208","0.515","0.347",60.9
"Perdomo, Geraldo",672695,"AZ","FF","4-Seam Fastball",-0.4,-3,"783",37.9,"196","0.248","0.389","0.337",10.2,11.2,10.3,"0.191","0.283","0.282",22.2
"Thomas, Lane",657041,"WSH","FF","4-Seam Fastball",1,8,"791",30.1,"195","0.318","0.607","0.419",17.9,19.5,17.7,"0.308","0.604","0.409",46.4
"Turner, Trea",607208,"PHI","FF","4-Seam Fastball",-0.4,-3,"763",28.5,"194","0.244","0.506","0.347",21.6,19.6,16.8,"0.259","0.575","0.372",52.8
"Acuña Jr., Ronald",660670,"ATL","SI","Sinker",2.2,13,"607",21.8,"193","0.361","0.538","0.43",9.3,9.3,13.5,"0.363","0.661","0.466",56.3
"Springer, George",543807,"TOR","FF","4-Seam Fastball",0,0,"682",27,"192","0.265","0.476","0.373",18.2,17.7,17.2,"0.268","0.503","0.375",47.4
"Henderson, Gunnar",683002,"BAL","FF","4-Seam Fastball",0,0,"786",32.7,"192","0.248","0.461","0.36",27.2,26.6,21.9,"0.278","0.517","0.386",62.3
"Kim, Ha-Seong",673490,"SD","FF","4-Seam Fastball",0.6,5,"960",35.2,"191","0.252","0.484","0.388",21.5,23,14,"0.231","0.405","0.346",38.1
"Wade Jr., LaMonte",664774,"SF","FF","4-Seam Fastball",1,8,"802",38.2,"190","0.299","0.526","0.422",17.5,15.8,13.6,"0.265","0.517","0.39",43.3
"Alonso, Pete",624413,"NYM","FF","4-Seam Fastball",1.3,10,"763",29.7,"189","0.231","0.596","0.392",20.5,20.6,17.5,"0.26","0.644","0.423",45.8
"Bohm, Alec",664761,"PHI","FF","4-Seam Fastball",0.1,1,"724",32.1,"189","0.251","0.45","0.333",17.6,20.6,17.3,"0.251","0.437","0.326",51.1
"Meneses, Joey",608841,"WSH","FF","4-Seam Fastball",-1.2,-8,"691",27.2,"189","0.25","0.406","0.301",22.3,23.3,20.8,"0.267","0.421","0.314",59.6
"Carroll, Corbin",682998,"AZ","FF","4-Seam Fastball",1.5,12,"797",32.8,"188","0.311","0.583","0.436",20.5,20.2,19.2,"0.292","0.549","0.416",40.2
"De La Cruz, Bryan",650559,"MIA","FF","4-Seam Fastball",-0.2,-1,"686",27.8,"188","0.256","0.452","0.334",28.6,29.8,25,"0.246","0.464","0.337",51.3
"Paredes, Isaac",670623,"TB","FF","4-Seam Fastball",1.2,8,"686",29,"187","0.273","0.547","0.399",9.9,13.9,12.2,"0.247","0.398","0.334",34.8
"Torres, Gleyber",650402,"NYY","FF","4-Seam Fastball",1.5,11,"711",26.9,"186","0.274","0.555","0.383",22.3,16.7,12.6,"0.294","0.608","0.411",58.5
"Rodríguez, Julio",677594,"SEA","FF","4-Seam Fastball",1.4,10,"734",29.2,"186","0.305","0.557","0.402",20.8,24.7,22.2,"0.266","0.5","0.354",61
"Ruiz, Keibert",660688,"WSH","FF","4-Seam Fastball",1.6,8,"516",27.3,"186","0.315","0.565","0.41",7,7,12,"0.281","0.525","0.374",37.4
"Casas, Triston",671213,"BOS","FF","4-Seam Fastball",1,6,"649",31.5,"184","0.266","0.532","0.388",22.4,21.2,21.2,"0.282","0.614","0.428",50.4
"Merrifield, Whit",593160,"TOR","FF","4-Seam Fastball",-0.3,-2,"649",29.5,"184","0.274","0.421","0.332",13.2,11.4,11.5,"0.249","0.395","0.314",30.1
"Davis, J.D.",605204,"SF","FF","4-Seam Fastball",-0.1,-1,"752",35.9,"184","0.261","0.422","0.333",34,32.1,23.9,"0.25","0.448","0.344",53.3
"Steer, Spencer",668715,"CIN","SI","Sinker",-1.1,-7,"674",25.1,"184","0.255","0.342","0.318",14,10.9,13.9,"0.259","0.395","0.33",37.8
"Candelario, Jeimer",600869,"CHC","FF","4-Seam Fastball",1.7,12,"727",31.2,"181","0.301","0.575","0.406",22.5,23.2,18.2,"0.24","0.435","0.338",33.3
"Profar, Jurickson",595777,"SD","FF","4-Seam Fastball",0,0,"786",37.4,"181","0.287","0.4","0.361",14,12.7,10.2,"0.277","0.379","0.351",33.8
"Grisham, Trent",663757,"SD","FF","4-Seam Fastball",0.4,3,"790",33.7,"180","0.225","0.415","0.36",26.6,23.3,17.4,"0.275","0.599","0.433",56.4
"Volpe, Anthony",683011,"NYY","FF","4-Seam Fastball",0.8,6,"684",29.3,"178","0.245","0.556","0.381",26.1,32,23.9,"0.23","0.501","0.361",62.5
"Adames, Willy",642715,"MIL","FF","4-Seam Fastball",-0.2,-2,"701",27,"177","0.196","0.439","0.332",25.9,26,20.5,"0.227","0.538","0.375",49.5
"Smith, Dominic",642086,"WSH","FF","4-Seam Fastball",-0.7,-5,"739",33.4,"176","0.223","0.389","0.318",14,17,14,"0.252","0.487","0.351",42.5
"Belt, Brandon",474832,"TOR","FF","4-Seam Fastball",0.9,8,"845",46.9,"176","0.232","0.472","0.382",32.3,34.7,22.2,"0.214","0.445","0.351",41
"Edman, Tommy",669242,"STL","FF","4-Seam Fastball",-0.9,-5,"624",34.5,"175","0.229","0.386","0.309",13.6,17.7,19.9,"0.264","0.41","0.335",37.9
"Hernández, Teoscar",606192,"SEA","SL","Slider",-1.5,-9,"609",22.8,"175","0.216","0.322","0.251",37.5,31.4,26.1,"0.225","0.412","0.275",46.2
"Arozarena, Randy",668227,"TB","FF","4-Seam Fastball",2.3,17,"736",27.5,"174","0.261","0.552","0.429",32.4,27,18.8,"0.242","0.552","0.414",55.2
