Name,Team,FB%,FBv,SL%,SLv,CT%,CTv,CB%,CBv,CH%,CHv,SF%,SFv,KN%,KNv,XX%,NameASCII,PlayerId,MLBAMID
"Aaron Judge","NYY",0.43526045,94.26513227,0.25993367,84.88888889,0.07803863,88.85416667,0.07868895,80.42963576,0.11627756,85.25699888,0.03115042,87.08350731,0.00065032,75,0.02118809,"Aaron Judge",15640,592450
"José Ramírez","CLE",0.43317807,93.63571133,0.16893587,84.648017,0.07225606,89.05950413,0.10605518,79.45623941,0.18219276,85.45714286,0.03696405,86.77221325,0.00041801,80.28571429,0.02094772,"Jose Ramirez",13510,608070
"Shohei Ohtani","- - -",0.44366739,94.08100275,0.19940973,84.60702772,0.07756961,89.21009098,0.09598358,80.43181818,0.14634929,85.99472527,0.03612216,86.87165775,0.00089824,77.21428571,0.02019619,"Shohei Ohtani",19755,660271
"Bryce Harper","PHI",0.45938822,93.99788615,0.20676979,84.48708487,0.06048415,89.20986239,0.11257543,79.78126925,0.13296802,86.12832551,0.02663522,86.65104167,0.00117916,79.29411765,0.01740035,"Bryce Harper",11579,547180
"Freddie Freeman","- - -",0.48034624,93.96814028,0.19422541,84.92364081,0.07986008,89.39182156,0.08715243,79.98366236,0.133278,86.27001779,0.02478212,87.06937799,0.00035572,76.5,0.01540649,"Freddie Freeman",5361,518692
"Yordan Alvarez","HOU",0.48841821,93.74200702,0.18900406,84.27290076,0.07417756,89.23572296,0.10590356,79.7034188,0.11158179,85.33766234,0.02902208,86.5,0.00189274,76.38095238,0.0147628,"Yordan Alvarez",19556,670541
"Rafael Devers","- - -",0.54779367,93.73777083,0.15065395,84.25527597,0.06851241,88.80909902,0.08917003,80.14804661,0.11361692,85.9639203,0.0294585,86.55809129,0.00079452,65.23076923,0.01459453,"Rafael Devers",17350,646240
"Juan Soto","- - -",0.45793553,93.98490798,0.20122431,84.69746023,0.07205436,89.2182385,0.0968213,80.01450116,0.14197462,86.36960823,0.02998989,86.67228464,,,0.01452445,"Juan Soto",20123,665742
"Maikel Franco","- - -",0.44492319,93.43284211,0.27107531,84.43676572,0.06687898,88.12044818,0.09647808,79.08349515,0.11090296,84.50506757,0.00974148,85.92307692,,,0.01404757,"Maikel Franco",12179,596748
"Corey Seager","- - -",0.42447939,93.78873522,0.22260943,84.53289977,0.07275818,88.76635514,0.09417765,79.81719457,0.14602635,85.97146185,0.03977901,87.01495726,0.00017,68,0.01359388,"Corey Seager",13624,608369
"Mike Trout","LAA",0.58932522,93.91193493,0.19386062,84.56966239,0.07162611,88.67567568,0.0657264,79.67040673,0.06535767,84.97461213,0.01410398,86.1503268,,,0.01336406,"Mike Trout",10155,545361
"Nelson Cruz","- - -",0.47770866,93.74959305,0.25648004,84.628095,0.0628564,88.52783505,0.08372214,79.90866873,0.1086055,84.69809069,0.01062727,86.13414634,,,0.01204975,"Nelson Cruz",2434,443558
"Christian Yelich","MIL",0.49639695,93.54035719,0.18989774,84.46109301,0.07967881,89.40654608,0.10822867,79.40393152,0.10486583,85.78805774,0.02093199,86.71803279,,,0.01076891,"Christian Yelich",11477,592885
"Pete Alonso","NYM",0.51513514,93.73137987,0.22228228,84.82553422,0.06432432,88.89169001,0.09111111,79.71579643,0.08888889,85.01824324,0.01807808,86,0.00018018,77.33333333,0.01020102,"Pete Alonso",19251,624413
"Kyle Tucker","- - -",0.46636125,93.66836456,0.20709256,84.31462515,0.07414949,89.3180778,0.09137185,79.84958217,0.12904047,85.74358974,0.03088148,86.59065934,0.00110291,77.15384615,0.01016863,"Kyle Tucker",18345,663656
"Vladimir Guerrero Jr.","TOR",0.48661174,94.19193122,0.23345778,85.0248139,0.07994336,88.78985507,0.0650103,80.3009901,0.11096807,85.25174014,0.02317199,86.90277778,0.00083677,75.61538462,0.0100328,"Vladimir Guerrero Jr.",19611,665489
"Nolan Arenado","- - -",0.4930482,93.8956335,0.2583104,84.97568306,0.06972969,89.32489879,0.07841061,79.98469847,0.08292752,85.05957447,0.01736185,86.21138211,0.00021173,77,0.00987445,"Nolan Arenado",9777,571448
"Josh Naylor","- - -",0.42436518,93.75855646,0.21509732,84.23013321,0.06382769,88.9504644,0.1217271,80.17288961,0.1416856,85.91701534,0.03250667,86.91489362,0.00079044,80.25,0.00986193,"Josh Naylor",18839,647304
"Manny Machado","SDP",0.5212383,94.02411757,0.22782905,85.06233841,0.06525296,89.43831494,0.0760521,80.11445783,0.089731,85.29489051,0.01989659,85.92105263,,,0.00928712,"Manny Machado",11493,592518
"Elly De La Cruz","CIN",0.405902,94.05694683,0.17859131,84.39984412,0.08672049,89.31942215,0.12110245,80.07241379,0.16536748,85.85521886,0.04092428,86.32191781,0.00139198,78,0.00889754,"Elly De La Cruz",26668,682829
"James Wood","WSN",0.4299697,94.07859079,0.23584246,84.3458498,0.05872757,88.84920635,0.12304824,80.60416667,0.11092985,86.31722689,0.04124913,86.66666667,0.00023305,80,0.0088475,"James Wood",29518,695578
"Cal Raleigh","SEA",0.42950985,94.10352941,0.17230925,84.75249267,0.0756948,89.34178905,0.10419404,80.48011639,0.17524002,85.87254902,0.04305205,86.78403756,,,0.00868336,"Cal Raleigh",21534,663728
"Matt Olson","- - -",0.50118386,93.80326063,0.1916194,84.53943581,0.07246297,89.23668189,0.0993888,79.94944444,0.11111723,85.91422905,0.0234018,86.62823529,0.00082595,69.86666667,0.00853101,"Matt Olson",14344,621566
"Cody Bellinger","- - -",0.502391,93.85293705,0.18720113,84.4462406,0.07172996,89.35980392,0.08825598,79.90677291,0.12257384,86.12801378,0.02742616,86.46153846,0.00042194,61.66666667,0.00850615,"Cody Bellinger",15998,641355
"Salvador Perez","KCR",0.42169636,93.98129466,0.28698041,84.74737492,0.07462554,88.75296912,0.09465568,80.23314607,0.09616237,84.76221198,0.02587964,85.95205479,,,0.00850536,"Salvador Perez",7304,521692
"Rowdy Tellez","- - -",0.46602993,93.66511726,0.16896416,84.05477855,0.06695549,89.51764706,0.11628594,79.54784081,0.1480898,85.80452128,0.03308389,86.64880952,0.00059078,69,0.00786627,"Rowdy Tellez",15679,642133
"Julio Rodríguez","SEA",0.45756808,94.14002307,0.26789107,84.4929078,0.07694744,89.19478738,0.07420308,80.6458037,0.09605235,85.23076923,0.02733798,86.73745174,,,0.00769231,"Julio Rodriguez",23697,677594
"Kerry Carpenter","DET",0.40618802,93.99657534,0.19535898,84.41038697,0.08746529,89.41590909,0.12336374,80.03542673,0.15073384,86.03293808,0.03689012,86.48108108,,,0.00750395,"Kerry Carpenter",25961,681481
"Jared Walsh","- - -",0.49872356,93.56389601,0.17286652,84.23734177,0.05671043,88.48553055,0.12618527,79.64450867,0.12363239,85.55769231,0.02188184,85.975,,,0.00729262,"Jared Walsh",18607,665120
"Ketel Marte","ARI",0.45271885,93.88665237,0.17478339,84.96068376,0.07663579,89.64585366,0.09471168,79.79100946,0.1650732,85.61113626,0.03533015,86.60887949,0.00074694,78.1,0.00723935,"Ketel Marte",13613,606466
"Bobby Witt Jr.","KCR",0.47722343,94.06590909,0.25419049,85.03374709,0.08804969,88.77491601,0.07562611,80.21382008,0.0810491,84.58272506,0.02386117,86.34297521,,,0.00719141,"Bobby Witt Jr.",25764,677951
"Oneil Cruz","PIT",0.37496013,94.35644407,0.23859649,84.55748663,0.06778309,89.85411765,0.14385965,80.23946785,0.13285486,86.1212485,0.04194577,86.49429658,,,0.00700972,"Oneil Cruz",21711,665833
"J.D. Martinez","- - -",0.48745342,93.70440252,0.25010352,84.9025522,0.07395445,88.22620381,0.08770186,80.20813623,0.08397516,84.4812253,0.01614907,85.82051282,0.00066253,64.75,0.00695019,"J.D. Martinez",6184,502110
