Name,Team,wFB,wSL,wCT,wCB,wCH,wSF,wKN,wFB/C,wSL/C,wCT/C,wCB/C,wCH/C,wSF/C,wKN/C,NameASCII,PlayerId,MLBAMID
"Jonathan Schoop","- - -",-34.88991093635559,-5.343602538108826,0.886059120297432,1.8545736372470856,0.7275304794311523,-3.3657157123088837,1.4086850881576538,-0.9361392792153365,-0.3013876220027538,0.2283657526539773,0.3000928215610171,0.10589963310497123,-3.868638749780326,140.86850881576538,"Jonathan Schoop",11265,570731
"Luis Urías","- - -",10.643183529376984,-2.4604262709617615,4.340408980846405,-5.319523401558399,-6.418263256549835,1.7901892811059952,1.4075472354888916,0.24506524359606224,-0.12834774496409815,0.8363023084482476,-0.7676079944528714,-0.9651523694059903,1.4437010331499962,140.75472354888916,"Luis Urias",16622,649966
"Nick Allen","- - -",-29.854671239852905,-23.779746532440186,0.384472131729126,-5.251449093222618,-8.83563756942749,-1.2664276957511902,0.7739226818084717,-1.3435945652499057,-2.195729135036028,0.15256830624171666,-1.4668852215705637,-3.1221334167588304,-2.1107128262519836,77.39226818084717,"Nick Allen",22277,669397
"Willson Contreras","- - -",51.22228544950485,8.601692140102386,7.30374613404274,13.86737835407257,6.2639652490615845,-1.6865979954600334,1.4286218881607056,0.8561304604630596,0.31176847191382334,1.0693625379271947,1.4895143237457111,0.5413971693225225,-0.8069846868229825,71.43109440803528,"Willson Contreras",11609,575929
"Chas McCormick","HOU",25.880056142807007,-9.767562091350555,-6.196855306625366,-4.1716375052928925,2.7907230854034424,2.590161442756653,1.4313210621476173,0.8670035558729315,-0.6455758156874128,-1.418044692591617,-0.7612477199439585,0.520657292052881,2.7554908965496305,47.71070207158725,"Chas McCormick",19599,676801
"DJ LeMahieu","NYY",4.946869384497404,7.888584710657597,11.560601353645325,10.67283809185028,11.087198913097382,-2.030628025531769,0.4630792737007141,0.07326524562348051,0.34046546010606804,1.4450751692056656,1.3915043144524486,1.247153983475521,-0.9401055673758189,46.30792737007141,"DJ LeMahieu",9874,518934
"Brett Gardner","NYY",29.680058002471924,-9.464054822921753,-9.471464395523071,-1.8435595035552979,1.4962539672851562,2.6354547441005707,1.3824058771133423,1.0057627245839351,-1.3443259691650218,-3.189045251017869,-0.3558995180608683,0.2812507457302925,2.108363795280457,46.080195903778076,"Brett Gardner",9927,458731
"Dansby Swanson","- - -",41.74075984954834,-11.308221608400345,8.760191187262535,3.41788649559021,-7.734177589416504,-3.649921480566263,0.454441100358963,0.5614090094088546,-0.2685400524436083,0.7697883292849328,0.23901304164966503,-0.4901253225232259,-1.4599685922265053,45.4441100358963,"Dansby Swanson",18314,621020
"Leury García","CHW",-9.633941173553467,-6.971449851989746,-1.7263048887252808,-9.778778195381165,-2.9415473490953445,-0.5386449806392193,1.7192585468292236,-0.360551690627001,-0.8903511943792779,-0.5851880978729765,-1.468285014321496,-0.41902383890247075,-0.5730265751481056,42.98146367073059,"Leury Garcia",5913,544725
"Garrett Hampson","- - -",-28.004146695137024,-11.177665531635284,11.751474753022194,-5.670538485050201,-12.888891384005547,-2.3155263029038906,0.3934909701347351,-0.7264370089529707,-0.7491732930050459,2.605648503996052,-0.9594819771658547,-1.958798082675615,-2.6615244860964262,39.34909701347351,"Garrett Hampson",19262,641658
"Jason Heyward","- - -",29.200223058462143,-6.613227292895317,-1.6909607201814651,-2.1648857593536377,-12.239558607339859,-3.8600716814398766,0.7581232786178589,0.7676189026935368,-0.4920556021499492,-0.310268022051645,-0.2586482388714023,-1.2489345517693735,-1.8469242494927638,37.906163930892944,"Jason Heyward",4940,518792
"Danny Jansen","- - -",-5.389322400093079,9.429420381784439,0.3293536752462387,1.2607228085398674,-5.480092763900757,-0.6792187243700027,2.141542613506317,-0.13723764706119373,0.5479035666347727,0.05870832000824219,0.1913084686706931,-0.7425599951085036,-0.6468749755904788,30.593465907233103,"Danny Jansen",16535,643376
"AJ Pollock","- - -",33.6605397798121,-0.8749007098376751,-4.780385375022888,-6.768788103014231,-7.976832784712315,0.06626467406749725,1.3824058771133423,1.2388862635190319,-0.05895557343919643,-1.2546943241529889,-1.269941482741882,-1.2290959606644554,0.07705194659011308,27.64811754226685,"AJ Pollock",9256,572041
"Brandon Drury","- - -",-22.574504643678665,0.7811400517821312,-9.340170562267303,-1.4496182203292847,6.985090434551239,1.5738194324076176,0.8125511407852173,-0.5704954420944823,0.03886268914338961,-1.698212829503146,-0.23231061223225716,1.1266274894437482,1.220015063881874,27.08503802617391,"Brandon Drury",11615,592273
"Edmundo Sosa","- - -",0.7760105729103088,-7.428423307836056,-4.169309459626675,-0.9871868789196014,7.833466202020645,0.47672491148114204,0.8109863810241222,0.031278136755756095,-0.5853761471896025,-1.499751604182257,-0.24741525787458685,1.628579251979344,0.6272696203699237,27.03287936747074,"Edmundo Sosa",17022,624641
"Nolan Arenado","- - -",23.837001144886017,-0.8309101462364197,10.915204405784607,22.61125349998474,6.343024164438248,2.546483188867569,0.7602441906929016,0.34121100980369334,-0.022702463011924037,1.1047777738648388,2.0352163366322897,0.5398318437819786,1.035155767832345,25.34147302309672,"Nolan Arenado",9777,571448
"Jarren Duran","BOS",22.989056944847107,-4.503045827150345,11.295987129211426,12.559544503688812,0.4146030806005001,11.390269696712494,1.259619116783142,0.554353917165351,-0.31162946900694427,1.7873397356347194,1.6972357437417314,0.04674217368664037,3.5931450147358026,25.192382335662845,"Jarren Duran",24617,680776
"Gleyber Torres","- - -",49.58297562599182,-10.841327428817749,-1.7947973757982254,4.759480595588684,-2.4342846274375916,6.216272681951523,0.4630792438983917,0.6944394345377006,-0.2664371449697161,-0.14544549236614468,0.3592060826859384,-0.17227775141101143,2.0448265401156323,23.153962194919586,"Gleyber Torres",16997,650402
"Gavin Sheets","- - -",-14.24243700504303,-7.1057512909173965,0.15492919087409973,-0.5707193315029144,9.941779911518097,-0.5192287862300873,0.454441100358963,-0.41450631562989027,-0.4474654465313222,0.025191738353512152,-0.05358866962468681,0.7736793705461554,-0.1707989428388445,22.72205501794815,"Gavin Sheets",19901,657757
"Willie Calhoun","- - -",-4.964930236339569,-4.509976714849472,-3.9944897145032883,6.428987272083759,-4.823021084070206,1.081121176481247,0.6676628589630127,-0.2374428616135614,-0.5473272712195961,-1.244389319159903,1.2755927127150317,-0.8078762284874715,0.819031194303975,22.255428632100426,"Willie Calhoun",17838,641432
"Ezequiel Duran","TEX",-10.412300825119019,-13.57757043838501,1.5017128586769104,-5.823048084974289,4.153452694416046,-0.8552240505814552,0.43587177991867065,-0.5159712995599117,-1.1725017649727987,0.5142852255742844,-1.5124800220712438,1.2252072844885091,-1.2217486436877931,21.793588995933533,"Ezequiel Duran",23733,677649
"Brad Miller","- - -",8.540857970714569,-7.7830207683146,-0.398621566593647,3.0030049234628677,2.635884240269661,-1.46501874178648,1.3022668361663818,0.4255534614207558,-1.1496337914792614,-0.14548232357432372,0.6471993369532043,0.4616259615183294,-1.5585305763685957,21.704447269439697,"Brad Miller",12775,543543
"Thairo Estrada","- - -",-0.9373271763324738,-14.829250395298004,5.989012271165848,-6.644975997507572,2.976272389292717,-1.5124752670526505,1.0386742949485779,-0.028770017689762853,-0.8911809131789665,1.559638612282773,-0.9800849553845976,0.5295858343937219,-1.0881117029155758,20.773485898971558,"Thairo Estrada",16426,642731
"Abraham Toro","- - -",-4.31441193819046,-13.710979223251343,0.8864549770951271,3.6213164031505585,-15.578383460640907,-3.1280725449323654,1.2093708515167236,-0.14094779281902842,-1.474298841209822,0.24900420704919302,0.6096492261196227,-1.6193745801082022,-1.475505917420927,20.15618085861206,"Abraham Toro",19844,647351
"Xavier Edwards","MIA",3.3393770456314087,0.6768966019153595,5.509387254714966,5.274940133094788,2.254464626312256,-1.8716763257980347,0.5993674993515015,0.16507054105938748,0.14014422399903922,2.071198216058258,1.574608994953668,0.478654910045065,-1.2313660038144965,19.97891664505005,"Xavier Edwards",22266,669364
"Wil Myers","- - -",31.74997341632843,-9.06768536567688,-11.559042811393738,-7.793249011039734,1.7887113094329834,-1.5057412385940552,0.38975557684898376,1.0218852081212884,-0.5407087278280787,-2.7261893423098438,-1.1443831146901224,0.2839224300687275,-1.836269803163482,19.48777884244919,"Wil Myers",10047,571976
"Cody Bellinger","- - -",34.29840302467346,10.798068523406982,5.100154846906662,4.723663706332445,28.89231362566352,-5.044473871588707,1.1540566310286522,0.48010082621323436,0.40563743513925554,0.5000151810692806,0.3763875463213104,1.6576198293553366,-1.2934548388688993,19.234277183810867,"Cody Bellinger",15998,641355
"Pavin Smith","ARI",19.20345175266266,-14.907210558652878,3.520351529121399,-6.561254113912582,8.511177405714989,1.4109480381011963,0.5381710529327393,0.6957772374153137,-1.2051099885733936,0.7982656528619952,-0.9202319935361266,1.0953896275051465,0.6355621793248633,17.939035097757973,"Pavin Smith",19892,656976
"Michael Harris II","ATL",-0.1286153793334961,13.250516593456268,6.226780876517296,10.969829499721527,-8.911721676588058,4.449881747364998,0.5372763276100159,-0.003502597476402399,0.9700231766805466,1.1815523484852553,1.4529575496319902,-0.9923966232280689,1.7943071561955637,17.909210920333862,"Michael Harris II",25931,671739
"Alex Verdugo","- - -",19.00217080116272,-2.667857311666012,-3.3270177245140076,6.000796794891357,6.713730663061142,-9.425009042024612,0.50590580701828,0.28055766722519887,-0.1258423260219817,-0.40922727238794676,0.553068829022245,0.40912435484833287,-2.4933886354562467,16.863526900609337,"Alex Verdugo",17027,657077
"Royce Lewis","MIN",-0.2872835397720337,10.547779083251953,-3.383725345134735,0.9230277240276337,-1.9548004567623138,1.7194621823728085,0.47982215881347656,-0.016567678187545197,1.160371736331348,-1.0100672672043987,0.28935038370772215,-0.541495971402303,1.2643104282153004,15.994071960449219,"Royce Lewis",20437,668904
"Michael A. Taylor","- - -",-36.64919263124466,-7.999150946736336,-0.09770959615707397,-5.970738597214222,-3.6200876981019974,-2.634539097547531,0.4791107177734375,-0.8641639384872591,-0.3792864365451084,-0.018470623092074475,-0.7876963848567574,-0.4294291456823247,-2.1246283044738155,15.970357259114584,"Michael A. Taylor",11489,572191
"Nick Fortes","- - -",-20.798219561576843,-1.1205305457115173,-10.879939407110214,-1.8422200679779053,-4.591928951442242,-0.9266434274613857,0.4782465174794197,-1.0130647618887891,-0.11672193184494972,-3.2869907574351096,-0.4493219677994891,-1.3309938989687657,-1.1729663638751717,15.941550582647324,"Nick Fortes",21538,663743
"Freddie Freeman","- - -",132.11456632614136,36.807207107543945,18.347226530313492,21.960702538490295,49.06382131576538,7.841905936598778,0.9275964498519897,1.6306414012113226,1.1235411204988994,1.3620806629779876,1.4939253427544419,2.182554328993122,1.8760540518178894,15.459940830866495,"Freddie Freeman",5361,518692
"Miguel Cabrera","DET",-23.200031399726868,-11.62761116027832,-2.9850291162729263,-3.736360788345337,8.62734842300415,0.07474058866500854,0.4630792737007141,-0.5387838225668107,-0.6142425335593407,-0.6364667625315408,-0.6115156773069291,1.3915078101619598,0.07951126453724314,15.435975790023804,"Miguel Cabrera",1744,408234
"Michael Brantley","HOU",16.437815070152283,14.084911666810513,11.274183988571167,0.48928147554397583,7.277349516749382,-0.4140075594186783,0.6161535382270813,0.48618204880663357,1.571976748527959,3.0225694339332887,0.08831795587436388,0.9246949830685365,-0.306672266236058,15.403838455677032,"Michael Brantley",4106,488726
"Michael Toglia","COL",0.6342957019805908,-11.25873190164566,5.9546908140182495,-6.723681628704071,-7.615267693996429,-4.794759094715118,0.9145925045013428,0.034101919461322086,-1.3763730931107163,1.6449422138171959,-1.2405316658125591,-1.2929147188448946,-3.0933929643323346,15.243208408355713,"Michael Toglia",25845,669911
"Jake McCarthy","ARI",15.14846557378769,4.41205757111311,-7.881869852542877,2.6611111164093018,-4.867684617638588,1.7135649770498276,1.5341089963912964,0.6399858713049298,0.3946384231764856,-2.020992269882789,0.44724556578307595,-0.7511858977837327,0.9904999867340043,13.946445421739059,"Jake McCarthy",21622,664983
"Carlos Correa","- - -",33.05568981170654,8.449165791273117,4.377059444785118,3.394215002655983,18.098206400871277,1.7482065744698048,0.5100187659263611,0.5067559376315582,0.26085723344467787,0.48688091710624226,0.3321149709056735,1.490791301554471,0.6775994474689166,12.750469148159027,"Carlos Correa",14162,621043
"Mauricio Dubón","- - -",-33.25109577178955,-8.700432129204273,-6.065436340868473,3.467494487762451,7.858420506119728,-4.2276160679757595,0.5046861991286278,-0.9162605613609687,-0.49716755024024417,-1.3015957813022474,0.55837270334339,1.3185269305570013,-3.9144593221997774,12.617154978215694,"Mauricio Dubon",16530,643289
"Josh Bell","- - -",44.94859838485718,21.932024240493774,0.2337915599346161,12.143061738461256,-16.399282097816467,0.535585030913353,0.5030313730239868,0.6614951933017981,1.0065178632626788,0.021234474108502824,0.8780232638077553,-0.5776429058758883,0.11823069115085055,12.57578432559967,"Josh Bell",13145,605137
"Luke Voit","- - -",26.19336350262165,3.823123946785927,11.383848570287228,-10.715230599045753,-7.649372145533562,-3.60931932926178,0.4630792737007141,0.9123428597221055,0.24014597655690495,3.0195884801822883,-1.4986336502161892,-1.0267613618165856,-3.00776610771815,11.576981842517853,"Luke Voit",14811,572228
"Nick Castellanos","- - -",64.7032231092453,-0.7827836275100708,-0.5360781401395798,-4.820236086845398,-6.241494417190552,-0.6944130212068558,1.6140888780355453,1.03890852776566,-0.018691108584290135,-0.06344120001651832,-0.3349712360559693,-0.4029370185403842,-0.24365369165152834,11.529206271682467,"Nick Castellanos",11737,592206
"Cavan Biggio","- - -",7.065710574388504,-0.9458756446838379,-1.8936785459518433,2.9627890773117542,1.0409115552902222,0.5330951437354088,1.2680261433124542,0.16489406241280055,-0.07677562051005178,-0.3333941102027893,0.39503854364156726,0.10326503524704583,0.24453905675936183,11.527510393749584,"Cavan Biggio",19252,624415
"Austin Nola","- - -",-22.32288120687008,-0.15811844170093536,-0.5181997530162334,3.8618722409009933,4.057467717677355,-0.5878102220594883,0.439827561378479,-0.8323221926498912,-0.01689299590821959,-0.2024217785219662,1.040935913989486,0.87445424949943,-0.9796837034324805,10.995689034461975,"Austin Nola",15941,543592
"Spencer Steer","CIN",-17.32336115837097,20.42859709262848,2.477450966835022,4.453821361064911,13.184138357639313,-0.13434149138629436,0.9408462047576904,-0.39796372980406547,1.1528553664011556,0.45126611417759965,0.6637587721408214,2.4643249266615537,-0.08502626037107239,10.453846719529894,"Spencer Steer",26323,668715
"Ozzie Albies","ATL",56.57339119911194,10.119828343391418,6.989837288856506,-1.4074613004922867,2.92114982008934,-7.504247605800629,1.0423938632011414,0.9385101393349691,0.48397074812967084,0.6812706909216868,-0.09074540944502171,0.14446833927246985,-1.6492851880880504,10.423938632011414,"Ozzie Albies",16556,645277
"Jesús Sánchez","- - -",9.689344733953476,-7.599977269768715,1.1243553161621094,-7.244081199169159,1.6720921993255615,-1.685948371887207,1.249374270439148,0.24761933897146632,-0.5303543105211943,0.1938543648555361,-0.8176163881680767,0.16958338735553363,-0.6086456216199304,10.411452253659565,"Jesus Sanchez",19913,660821
"Christian Vázquez","- - -",-29.56707612797618,-13.931377500295639,-0.459670752286911,-2.659698486328125,-8.462728381156921,1.4411665201187134,0.5118061080574989,-0.5762439315528392,-0.6414078038810147,-0.06922752293477576,-0.3345532687205189,-1.1283637841542562,0.973761162242374,10.236122161149979,"Christian Vazquez",9774,543877
"Tony Kemp","- - -",-9.218447372317314,0.4452512823045254,-1.2828842923045158,-5.081002950668335,1.0752787590026855,-3.3743007630109787,0.475818395614624,-0.2514579206851422,0.050310879356443544,-0.3795515657705668,-0.7363772392272949,0.13946546809373353,-2.5370682428653977,9.51636791229248,"Tony Kemp",14894,643393
"Starling Marte","- - -",32.41690792143345,5.674966543912888,8.986115217208862,1.391732931137085,-2.4378311038017273,0.6065862774848938,0.5634351372718811,0.5910101717672461,0.2424163410471118,1.2446142960123079,0.12958407180047346,-0.2184436472940616,0.393887193172009,9.390585621198017,"Starling Marte",9241,516782
"Brendan Rodgers","- - -",-11.816102020442486,-15.22421407699585,3.6306728795170784,9.93474517762661,-2.275857239961624,4.068105459213257,0.8402611017227173,-0.33779594112185496,-0.8265045644405999,0.7132952612017835,1.650289896615716,-0.33079320348279423,3.537483008011528,9.336234463585749,"Brendan Rodgers",17907,663898
"Masyn Winn","STL",-1.6585793495178223,-5.127241611480713,-4.962073236703873,-3.922682523727417,2.5634888112545013,-1.261172115802765,0.8247120678424835,-0.06156567741343067,-0.4098514477602488,-1.2312836815642363,-0.9406912526924261,0.57736234487714,-0.9701323967713575,9.16346742047204,"Masyn Winn",27479,691026
