Name,Team,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,NameASCII,PlayerId,MLBAMID
"Luis Arraez","- - -",840,3244,3533,1028,805,169,18,36,436,308,230,18,215,20,24,15,67,31,17,0.316892725,"Luis Arraez",18568,650333
"Freddie Freeman","- - -",991,3758,4352,1156,703,262,13,178,694,638,511,73,722,54,29,0,80,67,14,0.307610431,"Freddie Freeman",5361,518692
"Michael Brantley","HOU",394,1511,1666,461,313,100,6,42,215,192,134,6,179,13,7,1,38,7,3,0.305095962,"Michael Brantley",4106,488726
"Aaron Judge","NYY",851,3066,3731,921,477,155,4,285,658,639,605,90,967,30,23,0,89,50,13,0.300391389,"Aaron Judge",15640,592450
"Trea Turner","- - -",906,3734,4051,1120,734,216,28,142,634,482,266,8,745,31,18,0,75,191,28,0.299946438,"Trea Turner",16252,607208
"Xavier Edwards","MIA",239,904,1006,269,220,35,10,4,126,72,85,3,154,4,7,6,7,63,11,0.297566371,"Xavier Edwards",22266,669364
"Yordan Alvarez","HOU",677,2455,2867,728,396,156,6,170,429,493,346,42,566,40,26,0,60,9,2,0.296537678,"Yordan Alvarez",19556,670541
"Bo Bichette","TOR",748,3075,3292,904,595,190,8,111,438,437,187,4,639,17,13,0,78,60,21,0.293983739,"Bo Bichette",19612,666182
"Yandy Díaz","TBR",816,3030,3456,882,608,171,4,99,431,396,377,12,504,29,20,0,76,9,8,0.291089108,"Yandy Diaz",16578,650490
"Bobby Witt Jr.","KCR",626,2491,2722,722,432,151,34,105,403,373,176,20,487,26,28,1,34,148,43,0.289843436,"Bobby Witt Jr.",25764,677951
"Donovan Solano","- - -",617,1833,2017,531,389,104,4,34,190,201,134,4,412,36,13,1,42,4,2,0.289689034,"Donovan Solano",8623,456781
"Xander Bogaerts","- - -",907,3418,3837,990,655,208,4,123,516,452,348,11,677,29,41,1,87,77,12,0.289643066,"Xander Bogaerts",12161,593428
"Ketel Marte","ARI",828,3135,3544,905,534,198,24,149,510,460,346,23,566,35,28,0,66,37,8,0.288676236,"Ketel Marte",13613,606466
"Ronald Acuña Jr.","ATL",706,2723,3179,786,486,131,9,160,577,395,394,19,698,47,12,0,43,189,45,0.288652221,"Ronald Acuna Jr.",18401,660670
"Vladimir Guerrero Jr.","TOR",975,3734,4220,1077,677,211,6,183,571,591,430,39,645,36,20,0,125,26,13,0.288430637,"Vladimir Guerrero Jr.",19611,665489
"Tim Anderson","- - -",593,2375,2496,685,519,109,5,52,346,200,97,2,552,17,6,1,53,71,21,0.288421052,"Tim Anderson",15172,641313
"Jose Iglesias","- - -",637,2144,2292,618,457,122,6,33,259,240,97,4,313,36,10,5,50,24,14,0.288246268,"Jose Iglesias",10231,578428
"Harold Ramírez","- - -",536,1811,1933,517,381,91,7,38,221,247,79,3,350,27,15,0,32,19,13,0.285477636,"Harold Ramirez",14387,623912
"Jose Altuve","HOU",857,3396,3786,969,621,183,7,158,591,425,336,12,598,34,17,3,90,77,27,0.285335689,"Jose Altuve",5417,514888
"Starling Marte","- - -",709,2643,2907,751,524,130,19,78,419,329,171,6,549,71,13,9,67,147,29,0.284146802,"Starling Marte",9241,516782
"Corey Seager","- - -",776,2979,3359,842,485,184,6,167,482,488,327,42,575,29,24,0,68,12,3,0.282645182,"Corey Seager",13624,608369
"Brendan Donovan","STL",492,1765,2006,498,356,97,5,40,241,202,182,6,271,43,12,4,20,15,12,0.282152974,"Brendan Donovan",24679,680977
"Nico Hoerner","CHC",704,2616,2873,738,559,128,15,36,378,278,192,10,315,45,18,1,44,131,26,0.282110091,"Nico Hoerner",21479,663538
"Masataka Yoshida","BOS",303,1103,1206,311,214,65,3,29,132,154,71,0,157,24,8,0,29,13,0,0.281958295,"Masataka Yoshida",31837,807799
"Wander Franco","TBR",265,1037,1143,292,187,61,14,30,164,130,92,4,139,5,9,0,25,40,11,0.281581485,"Wander Franco",23667,677551
"Steven Kwan","CLE",583,2306,2589,649,489,106,18,36,346,206,240,6,246,18,17,8,26,73,18,0.281439722,"Steven Kwan",24610,680757
"Mookie Betts","- - -",887,3477,4013,978,572,205,20,181,688,523,462,16,561,36,38,0,56,86,19,0.281276962,"Mookie Betts",13611,605141
"Gabriel Moreno","- - -",316,992,1113,279,204,50,3,22,126,142,103,4,188,6,12,0,35,11,5,0.28125,"Gabriel Moreno",22664,672515
"Shohei Ohtani","- - -",919,3404,3962,957,485,171,43,258,649,608,504,86,1002,23,19,0,47,155,39,0.281139835,"Shohei Ohtani",19755,660271
"Bryce Harper","PHI",858,3129,3708,879,476,218,6,179,544,530,520,67,820,29,26,4,73,77,21,0.280920421,"Bryce Harper",11579,547180
"Hanser Alberto","- - -",399,1222,1285,343,244,70,7,22,146,128,32,1,144,12,8,11,24,10,6,0.280687397,"Hanser Alberto",11902,593643
"Juan Soto","- - -",980,3443,4309,965,554,174,15,222,698,627,817,70,734,19,26,2,92,90,25,0.280278826,"Juan Soto",20123,665742
"Jeff McNeil","NYM",860,3020,3373,846,575,182,12,77,397,348,247,10,406,80,20,6,40,30,9,0.28013245,"Jeff McNeil",15362,643446
"Charlie Blackmon","COL",704,2653,2952,743,479,149,28,87,395,376,227,12,489,47,21,4,43,21,10,0.280060309,"Charlie Blackmon",7859,453568
"Jackson Merrill","SDP",271,994,1076,278,170,56,12,40,136,157,62,2,209,5,10,5,6,17,5,0.279678068,"Jackson Merrill",29490,701538
"Rafael Devers","- - -",964,3737,4214,1044,578,250,12,204,622,651,414,59,908,40,22,1,87,25,16,0.279368477,"Rafael Devers",17350,646240
"Gio Urshela","- - -",684,2341,2529,654,450,131,8,65,266,313,150,4,465,11,25,2,84,7,4,0.279367791,"Gio Urshela",10681,570482
"Alec Bohm","PHI",719,2702,2949,753,532,143,8,70,338,395,189,4,519,24,34,0,91,18,7,0.278682457,"Alec Bohm",21618,664761
"Yainer Diaz","HOU",401,1490,1572,415,275,77,4,59,177,215,56,3,278,9,17,0,47,3,1,0.278523489,"Yainer Diaz",23003,673237
"Harold Castro","- - -",444,1396,1475,388,304,61,7,16,132,156,54,1,314,2,13,10,24,6,4,0.277936962,"Harold Castro",14691,605612
"Amed Rosario","- - -",805,2969,3142,825,597,138,34,56,377,328,136,2,592,19,16,2,80,79,22,0.277871337,"Amed Rosario",15518,642708
"DJ LeMahieu","NYY",718,2687,3023,746,546,115,8,77,395,314,297,4,471,16,20,3,76,18,10,0.277633048,"DJ LeMahieu",9874,518934
"Paul Goldschmidt","- - -",982,3633,4118,1008,630,210,5,163,571,522,431,18,920,21,20,0,75,50,4,0.277456647,"Paul Goldschmidt",9218,502671
"David Fletcher","- - -",459,1742,1882,482,379,80,8,15,215,145,120,4,175,4,5,11,30,26,7,0.276693455,"David Fletcher",17992,664058
"Fernando Tatis Jr.","SDP",671,2603,2939,720,420,136,12,152,476,393,293,15,690,28,14,1,46,124,27,0.276603918,"Fernando Tatis Jr.",19709,665487
"Kyle Tucker","- - -",741,2677,3086,739,415,158,19,147,446,486,357,31,485,11,23,1,48,118,15,0.276055285,"Kyle Tucker",18345,663656
"José Ramírez","CLE",968,3678,4163,1015,559,234,24,198,618,641,417,89,515,28,38,0,54,194,38,0.275965198,"Jose Ramirez",13510,608070
"Manny Machado","SDP",968,3704,4121,1019,634,185,6,194,560,631,367,38,764,15,35,0,116,60,17,0.275107991,"Manny Machado",11493,592518
"Justin Turner","- - -",821,2817,3224,773,511,153,1,108,413,427,307,4,543,63,37,0,67,15,3,0.274405395,"Justin Turner",5235,457759
"Julio Rodríguez","SEA",590,2384,2597,654,423,110,9,112,368,341,169,16,628,37,7,0,46,116,28,0.274328859,"Julio Rodriguez",23697,677594
"Carlos Correa","- - -",782,2928,3303,803,516,161,7,119,416,411,331,13,666,20,23,0,100,1,1,0.274248633,"Carlos Correa",14162,621043
