game_id,slate_id,date,day_of_week,slate_type,games_on_date,home_team,away_team,home_league,away_league,interleague,neutral_site,doubleheader
2026-03-25_NYY@SF,S001_2026-03-25_SOLO,2026-03-25,Wednesday,single_game_slate,1,SF,NYY,NL,AL,True,False,False
2026-03-26_MIN@BAL,S002_2026-03-26_MAIN,2026-03-26,Thursday,main_slate,11,BAL,MIN,AL,AL,False,False,False
2026-03-26_WSH@CHC,S002_2026-03-26_MAIN,2026-03-26,Thursday,main_slate,11,CHC,WSH,NL,NL,False,False,False
2026-03-26_BOS@CIN,S002_2026-03-26_MAIN,2026-03-26,Thursday,main_slate,11,CIN,BOS,NL,AL,True,False,False
2026-03-26_LAA@HOU,S002_2026-03-26_MAIN,2026-03-26,Thursday,main_slate,11,HOU,LAA,AL,AL,False,False,False
2026-03-26_ARI@LAD,S002_2026-03-26_MAIN,2026-03-26,Thursday,main_slate,11,LAD,ARI,NL,NL,False,False,False
2026-03-26_CHW@MIL,S002_2026-03-26_MAIN,2026-03-26,Thursday,main_slate,11,MIL,CHW,NL,AL,True,False,False
2026-03-26_PIT@NYM,S002_2026-03-26_MAIN,2026-03-26,Thursday,main_slate,11,NYM,PIT,NL,NL,False,False,False
2026-03-26_TEX@PHI,S002_2026-03-26_MAIN,2026-03-26,Thursday,main_slate,11,PHI,TEX,NL,AL,True,False,False
2026-03-26_DET@SD,S002_2026-03-26_MAIN,2026-03-26,Thursday,main_slate,11,SD,DET,NL,AL,True,False,False
2026-03-26_CLE@SEA,S002_2026-03-26_MAIN,2026-03-26,Thursday,main_slate,11,SEA,CLE,AL,AL,False,False,False
2026-03-26_TB@STL,S002_2026-03-26_MAIN,2026-03-26,Thursday,main_slate,11,STL,TB,NL,AL,True,False,False
2026-03-27_KC@ATL,S003_2026-03-27_MAIN,2026-03-27,Friday,main_slate,8,ATL,KC,NL,AL,True,False,False
2026-03-27_LAA@HOU,S003_2026-03-27_MAIN,2026-03-27,Friday,main_slate,8,HOU,LAA,AL,AL,False,False,False
2026-03-27_ARI@LAD,S003_2026-03-27_MAIN,2026-03-27,Friday,main_slate,8,LAD,ARI,NL,NL,False,False,False
2026-03-27_COL@MIA,S003_2026-03-27_MAIN,2026-03-27,Friday,main_slate,8,MIA,COL,NL,NL,False,False,False
2026-03-27_DET@SD,S003_2026-03-27_MAIN,2026-03-27,Friday,main_slate,8,SD,DET,NL,AL,True,False,False
2026-03-27_CLE@SEA,S003_2026-03-27_MAIN,2026-03-27,Friday,main_slate,8,SEA,CLE,AL,AL,False,False,False
2026-03-27_NYY@SF,S003_2026-03-27_MAIN,2026-03-27,Friday,main_slate,8,SF,NYY,NL,AL,True,False,False
2026-03-27_ATH@TOR,S003_2026-03-27_MAIN,2026-03-27,Friday,main_slate,8,TOR,ATH,AL,AL,False,False,False
2026-03-28_KC@ATL,S004_2026-03-28_MAIN,2026-03-28,Saturday,main_slate,15,ATL,KC,NL,AL,True,False,False
2026-03-28_MIN@BAL,S004_2026-03-28_MAIN,2026-03-28,Saturday,main_slate,15,BAL,MIN,AL,AL,False,False,False
2026-03-28_WSH@CHC,S004_2026-03-28_MAIN,2026-03-28,Saturday,main_slate,15,CHC,WSH,NL,NL,False,False,False
2026-03-28_BOS@CIN,S004_2026-03-28_MAIN,2026-03-28,Saturday,main_slate,15,CIN,BOS,NL,AL,True,False,False
2026-03-28_LAA@HOU,S004_2026-03-28_MAIN,2026-03-28,Saturday,main_slate,15,HOU,LAA,AL,AL,False,False,False
2026-03-28_ARI@LAD,S004_2026-03-28_MAIN,2026-03-28,Saturday,main_slate,15,LAD,ARI,NL,NL,False,False,False
2026-03-28_COL@MIA,S004_2026-03-28_MAIN,2026-03-28,Saturday,main_slate,15,MIA,COL,NL,NL,False,False,False
2026-03-28_CHW@MIL,S004_2026-03-28_MAIN,2026-03-28,Saturday,main_slate,15,MIL,CHW,NL,AL,True,False,False
2026-03-28_PIT@NYM,S004_2026-03-28_MAIN,2026-03-28,Saturday,main_slate,15,NYM,PIT,NL,NL,False,False,False
2026-03-28_TEX@PHI,S004_2026-03-28_MAIN,2026-03-28,Saturday,main_slate,15,PHI,TEX,NL,AL,True,False,False
2026-03-28_DET@SD,S004_2026-03-28_MAIN,2026-03-28,Saturday,main_slate,15,SD,DET,NL,AL,True,False,False
2026-03-28_CLE@SEA,S004_2026-03-28_MAIN,2026-03-28,Saturday,main_slate,15,SEA,CLE,AL,AL,False,False,False
2026-03-28_NYY@SF,S004_2026-03-28_MAIN,2026-03-28,Saturday,main_slate,15,SF,NYY,NL,AL,True,False,False
2026-03-28_TB@STL,S004_2026-03-28_MAIN,2026-03-28,Saturday,main_slate,15,STL,TB,NL,AL,True,False,False
2026-03-28_ATH@TOR,S004_2026-03-28_MAIN,2026-03-28,Saturday,main_slate,15,TOR,ATH,AL,AL,False,False,False
2026-03-29_KC@ATL,S005_2026-03-29_MAIN,2026-03-29,Sunday,main_slate,12,ATL,KC,NL,AL,True,False,False
2026-03-29_MIN@BAL,S005_2026-03-29_MAIN,2026-03-29,Sunday,main_slate,12,BAL,MIN,AL,AL,False,False,False
2026-03-29_WSH@CHC,S005_2026-03-29_MAIN,2026-03-29,Sunday,main_slate,12,CHC,WSH,NL,NL,False,False,False
2026-03-29_BOS@CIN,S005_2026-03-29_MAIN,2026-03-29,Sunday,main_slate,12,CIN,BOS,NL,AL,True,False,False
2026-03-29_LAA@HOU,S005_2026-03-29_MAIN,2026-03-29,Sunday,main_slate,12,HOU,LAA,AL,AL,False,False,False
2026-03-29_COL@MIA,S005_2026-03-29_MAIN,2026-03-29,Sunday,main_slate,12,MIA,COL,NL,NL,False,False,False
2026-03-29_CHW@MIL,S005_2026-03-29_MAIN,2026-03-29,Sunday,main_slate,12,MIL,CHW,NL,AL,True,False,False
2026-03-29_PIT@NYM,S005_2026-03-29_MAIN,2026-03-29,Sunday,main_slate,12,NYM,PIT,NL,NL,False,False,False
2026-03-29_TEX@PHI,S005_2026-03-29_MAIN,2026-03-29,Sunday,main_slate,12,PHI,TEX,NL,AL,True,False,False
2026-03-29_CLE@SEA,S005_2026-03-29_MAIN,2026-03-29,Sunday,main_slate,12,SEA,CLE,AL,AL,False,False,False
2026-03-29_TB@STL,S005_2026-03-29_MAIN,2026-03-29,Sunday,main_slate,12,STL,TB,NL,AL,True,False,False
2026-03-29_ATH@TOR,S005_2026-03-29_MAIN,2026-03-29,Sunday,main_slate,12,TOR,ATH,AL,AL,False,False,False
2026-03-30_DET@ARI,S006_2026-03-30_MAIN,2026-03-30,Monday,main_slate,15,ARI,DET,NL,AL,True,False,False
2026-03-30_ATH@ATL,S006_2026-03-30_MAIN,2026-03-30,Monday,main_slate,15,ATL,ATH,NL,AL,True,False,False
2026-03-30_TEX@BAL,S006_2026-03-30_MAIN,2026-03-30,Monday,main_slate,15,BAL,TEX,AL,AL,False,False,False
2026-03-30_LAA@CHC,S006_2026-03-30_MAIN,2026-03-30,Monday,main_slate,15,CHC,LAA,NL,AL,True,False,False
2026-03-30_PIT@CIN,S006_2026-03-30_MAIN,2026-03-30,Monday,main_slate,15,CIN,PIT,NL,NL,False,False,False
2026-03-30_BOS@HOU,S006_2026-03-30_MAIN,2026-03-30,Monday,main_slate,15,HOU,BOS,AL,AL,False,False,False
2026-03-30_MIN@KC,S006_2026-03-30_MAIN,2026-03-30,Monday,main_slate,15,KC,MIN,AL,AL,False,False,False
2026-03-30_CLE@LAD,S006_2026-03-30_MAIN,2026-03-30,Monday,main_slate,15,LAD,CLE,NL,AL,True,False,False
2026-03-30_CHW@MIA,S006_2026-03-30_MAIN,2026-03-30,Monday,main_slate,15,MIA,CHW,NL,AL,True,False,False
2026-03-30_TB@MIL,S006_2026-03-30_MAIN,2026-03-30,Monday,main_slate,15,MIL,TB,NL,AL,True,False,False
2026-03-30_WSH@PHI,S006_2026-03-30_MAIN,2026-03-30,Monday,main_slate,15,PHI,WSH,NL,NL,False,False,False
2026-03-30_SF@SD,S006_2026-03-30_MAIN,2026-03-30,Monday,main_slate,15,SD,SF,NL,NL,False,False,False
2026-03-30_NYY@SEA,S006_2026-03-30_MAIN,2026-03-30,Monday,main_slate,15,SEA,NYY,AL,AL,False,False,False
2026-03-30_NYM@STL,S006_2026-03-30_MAIN,2026-03-30,Monday,main_slate,15,STL,NYM,NL,NL,False,False,False
2026-03-30_COL@TOR,S006_2026-03-30_MAIN,2026-03-30,Monday,main_slate,15,TOR,COL,AL,NL,True,False,False
2026-03-31_DET@ARI,S007_2026-03-31_MAIN,2026-03-31,Tuesday,main_slate,14,ARI,DET,NL,AL,True,False,False
2026-03-31_ATH@ATL,S007_2026-03-31_MAIN,2026-03-31,Tuesday,main_slate,14,ATL,ATH,NL,AL,True,False,False
2026-03-31_TEX@BAL,S007_2026-03-31_MAIN,2026-03-31,Tuesday,main_slate,14,BAL,TEX,AL,AL,False,False,False
2026-03-31_LAA@CHC,S007_2026-03-31_MAIN,2026-03-31,Tuesday,main_slate,14,CHC,LAA,NL,AL,True,False,False
2026-03-31_PIT@CIN,S007_2026-03-31_MAIN,2026-03-31,Tuesday,main_slate,14,CIN,PIT,NL,NL,False,False,False
2026-03-31_BOS@HOU,S007_2026-03-31_MAIN,2026-03-31,Tuesday,main_slate,14,HOU,BOS,AL,AL,False,False,False
2026-03-31_CLE@LAD,S007_2026-03-31_MAIN,2026-03-31,Tuesday,main_slate,14,LAD,CLE,NL,AL,True,False,False
2026-03-31_CHW@MIA,S007_2026-03-31_MAIN,2026-03-31,Tuesday,main_slate,14,MIA,CHW,NL,AL,True,False,False
2026-03-31_TB@MIL,S007_2026-03-31_MAIN,2026-03-31,Tuesday,main_slate,14,MIL,TB,NL,AL,True,False,False
2026-03-31_WSH@PHI,S007_2026-03-31_MAIN,2026-03-31,Tuesday,main_slate,14,PHI,WSH,NL,NL,False,False,False
2026-03-31_SF@SD,S007_2026-03-31_MAIN,2026-03-31,Tuesday,main_slate,14,SD,SF,NL,NL,False,False,False
2026-03-31_NYY@SEA,S007_2026-03-31_MAIN,2026-03-31,Tuesday,main_slate,14,SEA,NYY,AL,AL,False,False,False
2026-03-31_NYM@STL,S007_2026-03-31_MAIN,2026-03-31,Tuesday,main_slate,14,STL,NYM,NL,NL,False,False,False
2026-03-31_COL@TOR,S007_2026-03-31_MAIN,2026-03-31,Tuesday,main_slate,14,TOR,COL,AL,NL,True,False,False
2026-04-01_DET@ARI,S008_2026-04-01_MAIN,2026-04-01,Wednesday,main_slate,15,ARI,DET,NL,AL,True,False,False
2026-04-01_ATH@ATL,S008_2026-04-01_MAIN,2026-04-01,Wednesday,main_slate,15,ATL,ATH,NL,AL,True,False,False
