Name,Team,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,Balls,Strikes,Pitches,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,NameASCII,PlayerId,MLBAMID
"Edgar García","PHI",0.3225806451612903,0.611111111,0.194444444,0.305555555,0.5,0,0.277777777,115,127,242,0.38888889,0.33333333,0.27777778,0.05555556,0.30555556,0.63888889,"Edgar Garcia",19276,658305
"Zack Littell","MIN",0.30952380952380953,0.8,0.357142857,0.285714285,0.357142857,0.266666666,0.066666666,73,146,219,0.51162791,0.20930233,0.27906977,0.13953488,0.23255814,0.62790698,"Zack Littell",15823,641793
"Brad Wieck","- - -",0.2647058823529412,0.736842105,0.131578947,0.368421052,0.5,0.052631578,0.210526315,74,131,205,0.42105263,0.34210526,0.23684211,0.07894737,0.31578947,0.60526316,"Brad Wieck",16390,623364
"Tanner Anderson","OAK",0.3888888888888889,1.583333333,0.205128205,0.487179487,0.307692307,0,0.333333333,91,136,227,0.28205128,0.48717949,0.23076923,0.07692308,0.33333333,0.58974359,"Tanner Anderson",18029,664196
"Ty Buttrey","LAA",0.32051282051282054,0.911764705,0.197530864,0.382716049,0.419753086,0.029411764,0.088235294,218,367,585,0.39506173,0.25925926,0.34567901,0.09876543,0.32098765,0.58024691,"Ty Buttrey",14719,621142
"David Hernandez","CIN",0.5,0.5,0.282608695,0.239130434,0.478260869,0.09090909,0.227272727,115,231,346,0.42553191,0.27659574,0.29787234,0.06382979,0.36170213,0.57446809,"David Hernandez",4259,456696
"Craig Kimbrel","CHC",0.25,0.642857142,0.178571428,0.321428571,0.5,0,0.285714285,69,129,198,0.21428571,0.53571429,0.25,0.07142857,0.35714286,0.57142857,"Craig Kimbrel",6655,518886
"Pete Fairbanks","- - -",0.2962962962962963,1.714285714,0.296296296,0.444444444,0.259259259,0,0,71,123,194,0.48148148,0.2962963,0.22222222,0.18518519,0.25925926,0.55555556,"Pete Fairbanks",17998,664126
"Jake Jewell","LAA",0.36666666666666664,2.5,0.151515151,0.606060606,0.242424242,0.125,0.375,58,102,160,0.54545455,0.36363636,0.09090909,0.12121212,0.33333333,0.54545455,"Jake Jewell",16958,657228
"Tayron Guerrero","MIA",0.3125,0.826086956,0.192307692,0.365384615,0.442307692,0.173913043,0.173913043,155,246,401,0.40384615,0.32692308,0.26923077,0.19230769,0.26923077,0.53846154,"Tayron Guerrero",11691,594027
"Cody Allen","LAA",0.21739130434782608,0.15,0.178571428,0.107142857,0.714285714,0.1,0.25,102,127,229,0.39285714,0.32142857,0.28571429,0.14285714,0.32142857,0.53571429,"Cody Allen",12183,592102
"Mike Montgomery","- - -",0.5,2.214285714,0.375,0.430555555,0.194444444,0.071428571,0.285714285,135,222,357,0.47222222,0.34722222,0.18055556,0.16666667,0.30555556,0.52777778,"Mike Montgomery",4869,543557
"Jerad Eickhoff","PHI",0.2545454545454545,0.351351351,0.180327868,0.213114754,0.606557377,0.054054054,0.27027027,138,213,351,0.47692308,0.24615385,0.27692308,0.09230769,0.38461538,0.52307692,"Jerad Eickhoff",12664,595191
"Kirby Yates","SDP",0.3333333333333333,1.071428571,0.147058823,0.44117647,0.411764705,0.071428571,0.071428571,192,373,565,0.47058824,0.27941176,0.25,0.17647059,0.30882353,0.51470588,"Kirby Yates",9073,489446
"A.J. Minter","ATL",0.3333333333333333,0.411764705,0.333333333,0.194444444,0.472222222,0,0.058823529,79,138,217,0.32432432,0.43243243,0.24324324,0.16216216,0.32432432,0.51351351,"A.J. Minter",18655,621345
"Drew Smyly","- - -",0.24285714285714285,0.642857142,0.148148148,0.333333333,0.518518518,0.047619047,0.285714285,192,284,476,0.47560976,0.29268293,0.23170732,0.12195122,0.36585366,0.51219512,"Drew Smyly",11760,592767
"Cole Irvin","PHI",0.4146341463414634,1.142857142,0.302325581,0.372093023,0.325581395,0,0.142857142,71,143,214,0.39534884,0.44186047,0.1627907,0.13953488,0.34883721,0.51162791,"Cole Irvin",19244,608344
"Andrew Heaney","LAA",0.39622641509433965,0.954545454,0.258620689,0.362068965,0.379310344,0.09090909,0.272727272,132,226,358,0.30508475,0.40677966,0.28813559,0.16949153,0.3220339,0.50847458,"Andrew Heaney",15423,571760
"Matt Harvey","LAA",0.3170731707317073,1.291666666,0.367816091,0.356321839,0.275862068,0.125,0.208333333,200,282,482,0.52873563,0.27586207,0.1954023,0.10344828,0.3908046,0.50574713,"Matt Harvey",11713,518774
"Taylor Guerrieri","TEX",0.42857142857142855,1.444444444,0.266666666,0.433333333,0.3,0.111111111,0.222222222,96,150,246,0.3,0.43333333,0.26666667,0.16666667,0.33333333,0.5,"Taylor Guerrieri",13616,605260
"Adam Cimber","CLE",0.3170731707317073,1,0.227272727,0.386363636,0.386363636,0.058823529,0.176470588,70,136,206,0.31818182,0.45454545,0.22727273,0.22727273,0.27272727,0.5,"Adam Cimber",15288,643256
"Stefan Crichton","ARI",0.16666666666666666,0.692307692,0.153846153,0.346153846,0.5,0,0.153846153,66,110,176,0.42307692,0.23076923,0.34615385,0.19230769,0.30769231,0.5,"Stefan Crichton",16058,592233
"José Quijada","MIA",0.24,0.5625,0.21875,0.28125,0.5,0.0625,0.4375,112,176,288,0.34375,0.375,0.28125,0.15625,0.34375,0.5,"Jose Quijada",19200,650671
"Jhoulys Chacín","- - -",0.2808219178082192,1.142857142,0.225806451,0.412903225,0.361290322,0.160714285,0.196428571,396,532,928,0.54140127,0.2611465,0.19745223,0.13375796,0.36942675,0.49681529,"Jhoulys Chacin",2608,468504
"Ryan Helsley","STL",0.24,0.518518518,0.196078431,0.274509803,0.529411764,0.074074074,0.111111111,108,191,299,0.39622642,0.26415094,0.33962264,0.11320755,0.39622642,0.49056604,"Ryan Helsley",18138,664854
