Name,Team,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,Balls,Strikes,Pitches,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,NameASCII,PlayerId,MLBAMID
"Rogelio Armenteros","HOU",0.23076923076923078,2,0.222222222,0.518518518,0.259259259,0.142857142,0.142857142,77,116,193,0.62962963,0.25925926,0.11111111,0.22222222,0.18518519,0.59259259,"Rogelio Armenteros",17679,660494
"Mick Abel","- - -",0.3148148148148148,1.136363636,0.145454545,0.454545454,0.4,0,0.045454545,99,195,294,0.41818182,0.41818182,0.16363636,0.07272727,0.36363636,0.56363636,"Mick Abel",27756,690953
"Chad Sobotka","ATL",0.25,0.76,0.228070175,0.333333333,0.438596491,0.08,0.2,167,247,414,0.26315789,0.47368421,0.26315789,0.10526316,0.33333333,0.56140351,"Chad Sobotka",17470,656977
"Zack Burdi","- - -",0.42857142857142855,0.833333333,0.195121951,0.365853658,0.43902439,0.111111111,0.333333333,89,154,243,0.43902439,0.3902439,0.17073171,0.14634146,0.29268293,0.56097561,"Zack Burdi",19159,641420
"Joe Palumbo","TEX",0.3684210526315789,1.307692307,0.285714285,0.404761904,0.309523809,0.076923076,0.384615384,108,161,269,0.41860465,0.37209302,0.20930233,0.04651163,0.39534884,0.55813953,"Joe Palumbo",17035,643478
"Cody Allen","LAA",0.2857142857142857,0.434782608,0.131578947,0.263157894,0.605263157,0.130434782,0.173913043,106,156,262,0.21052632,0.52631579,0.26315789,0.13157895,0.31578947,0.55263158,"Cody Allen",12183,592102
"Eric Stout","- - -",0.425,1.066666666,0.261904761,0.38095238,0.357142857,0,0.133333333,117,171,288,0.47619048,0.26190476,0.26190476,0.04761905,0.4047619,0.54761905,"Eric Stout",16873,657770
"Karl Kauffmann","COL",0.38333333333333336,0.84,0.269841269,0.333333333,0.396825396,0.04,0.12,113,171,284,0.44444444,0.33333333,0.22222222,0.0952381,0.36507937,0.53968254,"Karl Kauffmann",27488,666154
"Daniel Stumpf","DET",0.375,0.842105263,0.31372549,0.31372549,0.372549019,0.105263157,0.157894736,129,173,302,0.47058824,0.25490196,0.2745098,0.1372549,0.33333333,0.52941176,"Daniel Stumpf",13780,621385
"Eric Skoglund","KCR",0.30434782608695654,0.866666666,0.232876712,0.356164383,0.410958904,0.133333333,0.133333333,128,201,329,0.46575342,0.34246575,0.19178082,0.1369863,0.34246575,0.52054795,"Eric Skoglund",16155,607215
