"last_name, first_name","player_id","attempts","avg_hit_angle","anglesweetspotpercent","max_hit_speed","avg_hit_speed","ev50","fbld","gb","max_distance","avg_distance","avg_hr_distance","ev95plus","ev95percent","barrels","brl_percent","brl_pa"
"Irvin, Jake","663623","595","12.8",34.6,"112.6","90.4","79.3","94.6","86.9","464","172","400","280",47.1,"71",11.9,9
"Littell, Zack","641793","587","14.6",32.7,"114.5","90.2","80.2","94.3","87.2","428","172","391","240",40.9,"58",9.9,7.6
"Webb, Logan","657277","579","5.7",32.5,"116.8","89.7","78.4","93.7","87.3","454","135","395","233",40.2,"48",8.3,5.6
"Pfaadt, Brandon","694297","570","12.5",39.1,"114.8","90.8","79.6","94.8","87.5","449","170","405","261",45.8,"62",10.9,8.1
"Gallen, Zac","668678","568","12.4",34.2,"112","90.1","79.5","93.6","86.6","467","170","401","244",43,"55",9.7,6.8
"Parker, Mitchell","680730","560","14.7",37.3,"115.4","92.3","82.5","95.1","90.5","466","181","400","280",50,"54",9.6,7.4
"Fried, Max","608331","551","6.9",29.4,"113.8","87.2","74.9","91.6","85","429","140","395","205",37.2,"38",6.9,4.7
"Sánchez, Cristopher","650911","545","3",27,"115.2","89","77.4","93","86.9","418","127","387","217",39.8,"31",5.7,3.8
"Freeland, Kyle","607536","541","12.7",36.8,"115.4","91.1","81","93.9","88.6","452","173","399","256",47.3,"51",9.4,7.2
"Wacha, Michael","608379","540","17.7",36.5,"113.9","87.5","76.1","92","84.4","430","173","406","187",34.6,"40",7.4,5.6
"Valdez, Framber","664285","540","2.7",28,"115.9","90.8","80","94.6","88.9","425","127","391","250",46.3,"36",6.7,4.5
"Keller, Mitch","656605","537","11.9",34.6,"115.4","90.1","79.5","93.9","88.1","451","166","402","235",43.8,"42",7.8,5.6
"Pallante, Andre","669467","536","1.4",28.4,"119.4","89.2","77.9","93.1","87.3","448","125","394","214",39.9,"35",6.5,4.9
"Alcantara, Sandy","645261","536","9.4",33,"117.9","90.7","80.2","94.9","87.5","433","159","399","241",45,"46",8.6,6.2
"Bibee, Tanner","676440","536","13.8",29.5,"115.8","88.5","77.5","92.5","86.7","449","157","393","196",36.6,"43",8,5.6
"Hendricks, Kyle","543294","533","16.3",32.6,"112.5","86.1","73.7","90.6","83","423","169","395","183",34.3,"44",8.3,6.3
"Gausman, Kevin","592332","531","16.5",35,"116.5","89.3","78.1","93.5","85.2","425","179","392","220",41.4,"45",8.5,5.8
"Kelly, Merrill","518876","531","13.8",32.4,"116.9","90.2","79.1","94.3","87.5","448","165","404","231",43.5,"49",9.2,6.6
"Castillo, Luis","622491","530","14.5",32.1,"115.2","90.3","79.2","94","87.4","445","170","389","246",46.4,"55",10.4,7.4
"Mikolas, Miles","571945","529","13.8",34,"113.8","89.3","77.8","94.3","84.7","440","178","403","221",41.8,"67",12.7,10
"Sugano, Tomoyuki","608372","525","14.5",38.5,"116.3","90","79.6","93.9","86.8","433","176","399","209",39.8,"62",11.8,9.2
"Kikuchi, Yusei","579328","521","14.5",34.2,"112.2","91","80.7","94.2","89.4","434","174","400","220",42.2,"49",9.4,6.3
"Martinez, Nick","607259","519","16.2",37,"111.4","88.3","78.2","91.5","86.5","432","173","399","179",34.5,"36",6.9,5.3
"Springs, Jeffrey","605488","518","19.2",37.8,"115.3","88.3","77","92.8","82.9","463","192","397","193",37.3,"42",8.1,5.9
"Paddack, Chris","663978","518","16.3",35.9,"113.9","90.7","79.9","94.8","89","448","176","397","236",45.6,"53",10.2,7.9
"Kremer, Dean","665152","518","15.2",32.8,"113","88.1","76.7","93.6","83.3","429","173","401","182",35.8,"44",8.5,6.2
"Severino, Luis","622663","515","14",35.3,"112.4","88.3","75.8","92","85.9","455","167","406","216",41.9,"31",6,4.4
"Boyd, Matthew","571510","513","18",31.4,"114.7","88.5","77.3","91.4","88","425","174","388","195",38,"46",9,6.4
"Crochet, Garrett","676979","509","10.5",32,"115.5","87.7","75.5","92.1","85.2","453","150","390","190",37.3,"37",7.3,4.5
"Gray, Sonny","543243","508","11",34.8,"114.3","88.9","77","94.4","85.6","429","159","399","207",40.7,"50",9.8,6.6
"Bassitt, Chris","605135","505","10.5",34.5,"116.7","87.7","75.6","92.3","85.2","417","151","392","185",36.6,"43",8.5,5.8
"Bello, Brayan","678394","504","9",30.6,"113.7","88.8","77.4","92.5","86.3","430","147","393","198",39.3,"36",7.1,5.1
"Rodón, Carlos","607074","504","12.8",32.3,"115.5","88.6","77.3","93.2","84.4","434","162","380","196",38.9,"38",7.5,4.8
"Peterson, David","656849","500","4.3",34.4,"113.3","90.6","79.6","93.6","88.9","432","139","403","230",46,"32",6.4,4.4
"Holmes, Clay","605280","499","4.4",30.5,"114","89.7","78.4","95.6","86.2","433","134","396","211",42.3,"34",6.8,4.8
"Berríos, José","621244","497","15",32.2,"118.1","90.3","79.8","94.1","87.9","436","167","394","211",42.5,"56",11.3,8
"Woo, Bryan","693433","493","13.8",32.5,"120.4","89.1","77.6","93","87.1","429","162","393","206",41.8,"45",9.1,6.2
"Ray, Robbie","592662","492","17.7",35.2,"114.6","91","81.4","94","88.4","420","188","394","220",44.7,"47",9.6,6.2
"Elder, Bryce","693821","491","8.5",34,"117.6","90","78.8","94","86.2","445","156","404","215",43.8,"38",7.7,5.6
"Abbott, Andrew","671096","489","19.3",34.8,"111.1","87.8","77.1","91.6","85","437","182","396","165",33.7,"39",8,5.7
"Rodriguez, Eduardo","593958","489","16.3",35.4,"113.6","88.2","76.8","92.3","85.8","438","170","402","172",35.2,"40",8.2,5.8
"Senzatela, Antonio","622608","489","10.4",36.4,"114.7","90.9","80","94.5","87.5","466","171","414","225",46,"45",9.2,7.3
"Soriano, José","667755","488","-2.8",26.8,"115.4","91.4","80","95.7","89.6","427","107","400","235",48.2,"35",7.2,4.8
"Allen, Logan","671106","485","12.9",32.8,"117.5","88.6","77.2","93.4","85.7","441","159","395","182",37.5,"44",9.1,6.5
