"player","player_id","team_abbrev","year","type","avg_hr_trot","doubters","mostly_gone","no_doubters","no_doubter_per","hr_total","xhr","xhr_diff"
"Lyles, Jordan","543475","TEX","2021","adj_xhr","23.56",14,23,14,"36.8","38",30.8,"7.2"
"Corbin, Patrick","571578","WSH","2021","adj_xhr","23.28",14,25,16,"43.2","37",33.4,"3.6"
"Skubal, Tarik","669373","DET","2021","adj_xhr","23.27",7,28,16,"45.7","35",38.4,"-3.4"
"Foltynewicz, Mike","592314","TEX","2021","adj_xhr","23.58",5,20,16,"45.7","35",31.6,"3.4"
"Ray, Robbie","592662","TOR","2021","adj_xhr","23.7",13,23,12,"36.4","33",29.2,"3.8"
"Hendricks, Kyle","543294","CHC","2021","adj_xhr","22.77",12,22,14,"45.2","31",31,"0.0"
"Greinke, Zack","425844","HOU","2021","adj_xhr","23.77",10,15,16,"51.6","31",27.2,"3.8"
"Happ, J.A.","457918","STL","2021","adj_xhr","23.81",12,27,12,"40","30",30.3,"-0.3"
"Means, John","607644","BAL","2021","adj_xhr","23.3",11,21,8,"26.7","30",23.2,"6.8"
"Gonzales, Marco","594835","SEA","2021","adj_xhr","22.99",8,25,14,"48.3","29",30.5,"-1.5"
"Heaney, Andrew","571760","NYY","2021","adj_xhr","24.2",5,12,17,"58.6","29",25.9,"3.1"
"Allard, Kolby","663465","TEX","2021","adj_xhr","23.92",8,18,12,"41.4","29",26.2,"2.8"
"Brubaker, JT","664141","PIT","2021","adj_xhr","22.69",3,21,11,"39.3","28",25.7,"2.3"
"Darvish, Yu","506433","SD","2021","adj_xhr","23.56",8,25,11,"39.3","28",28.4,"-0.4"
"Smyly, Drew","592767","ATL","2021","adj_xhr","24.05",14,14,16,"57.1","28",28.7,"-0.7"
"Kikuchi, Yusei","579328","SEA","2021","adj_xhr","23.76",8,21,10,"37","27",26.8,"0.2"
"Pivetta, Nick","601713","BOS","2021","adj_xhr","23.55",7,23,12,"44.4","27",28.3,"-1.3"
"Giolito, Lucas","608337","CWS","2021","adj_xhr","23.27",14,27,5,"18.5","27",25.2,"1.8"
"Anderson, Tyler","542881","SEA","2021","adj_xhr","23.69",8,18,10,"37","27",22.2,"4.8"
"Minor, Mike","501985","KC","2021","adj_xhr","23.51",7,19,16,"61.5","26",29.4,"-3.4"
"Cole, Gerrit","543037","NYY","2021","adj_xhr","23.95",11,18,12,"46.2","26",26.2,"-0.2"
"Nola, Aaron","605400","PHI","2021","adj_xhr","23.59",12,13,11,"42.3","26",22.7,"3.3"
"Walker, Taijuan","592836","NYM","2021","adj_xhr","23.42",10,17,11,"42.3","26",24,"2.0"
"Yarbrough, Ryan","642232","TB","2021","adj_xhr","23.93",6,18,10,"40","25",23.8,"1.2"
"Davies, Zach","605200","CHC","2021","adj_xhr","23.3",14,16,8,"32","25",21.4,"3.6"
"Crowe, Wil","640444","PIT","2021","adj_xhr","22.86",7,14,11,"44","25",22.5,"2.5"
"Keuchel, Dallas","572971","CWS","2021","adj_xhr","23.35",11,20,11,"44","25",26.9,"-1.9"
"Manaea, Sean","640455","ATH","2021","adj_xhr","23.34",8,17,11,"44","25",24.6,"0.4"
"Scherzer, Max","453286","LAD","2021","adj_xhr","24.54",9,12,13,"52","25",21.9,"3.1"
"Lester, Jon","452657","STL","2021","adj_xhr","22.9",10,16,11,"44","25",23.3,"1.7"
"Alzolay, Adbert","640470","CHC","2021","adj_xhr","23.71",4,17,13,"52","25",25.5,"-0.5"
"Arrieta, Jake","453562","SD","2021","adj_xhr","22.78",10,16,8,"33.3","24",22.5,"1.5"
"Ryu, Hyun Jin","547943","TOR","2021","adj_xhr","23.94",10,21,9,"37.5","24",24.5,"-0.5"
"Wacha, Michael","608379","TB","2021","adj_xhr","23.43",7,22,8,"33.3","24",25.8,"-1.8"
"Mize, Casey","663554","DET","2021","adj_xhr","23.39",12,20,11,"45.8","24",26.5,"-2.5"
"Taillon, Jameson","592791","NYY","2021","adj_xhr","22.99",10,16,10,"41.7","24",21.3,"2.7"
"Mahle, Tyler","641816","CIN","2021","adj_xhr","23.23",5,12,13,"54.2","24",20,"4.0"
"Bumgarner, Madison","518516","AZ","2021","adj_xhr","22.25",9,14,15,"62.5","24",25.7,"-1.7"
"Civale, Aaron","650644","CLE","2021","adj_xhr","23.09",10,14,11,"47.8","23",22.7,"0.3"
"Urías, Julio","628711","LAD","2021","adj_xhr","23.02",5,10,14,"60.9","23",22.7,"0.3"
"Jax, Griffin","643377","MIN","2021","adj_xhr","23.98",7,11,15,"65.2","23",23.6,"-0.6"
"Irvin, Cole","608344","ATH","2021","adj_xhr","22.97",12,20,11,"47.8","23",24.2,"-1.2"
"Fedde, Erick","607200","WSH","2021","adj_xhr","24.72",8,20,8,"34.8","23",22.7,"0.3"
"Plesac, Zach","668676","CLE","2021","adj_xhr","23.31",7,15,10,"43.5","23",20.9,"2.1"
"Stripling, Ross","548389","TOR","2021","adj_xhr","24.61",7,12,11,"47.8","23",19.4,"3.6"
"Velasquez, Vince","592826","SD","2021","adj_xhr","23.48",7,14,10,"43.5","23",21.5,"1.5"
"Buehler, Walker","621111","LAD","2021","adj_xhr","22.56",8,19,9,"40.9","22",21.6,"0.4"
"Bubic, Kris","663460","KC","2021","adj_xhr","23.03",5,16,12,"54.5","22",24.3,"-2.3"
"Musgrove, Joe","605397","SD","2021","adj_xhr","23.82",5,17,10,"45.5","22",22.8,"-0.8"
"Berríos, José","621244","TOR","2021","adj_xhr","23.61",7,15,11,"50","22",24.1,"-2.1"
"Garcia, Luis","677651","HOU","2021","adj_xhr","23.18",6,25,5,"22.7","22",23.7,"-1.7"
"Wainwright, Adam","425794","STL","2021","adj_xhr","22.78",6,16,10,"45.5","22",21,"1.0"
"Kelly, Merrill","518876","AZ","2021","adj_xhr","23.76",14,12,9,"42.9","21",19.3,"1.7"
"McKenzie, Triston","663474","CLE","2021","adj_xhr","24.13",7,13,8,"38.1","21",17.8,"3.2"
"Alcantara, Sandy","645261","MIA","2021","adj_xhr","23.15",14,20,7,"33.3","21",21.9,"-0.9"
"Hill, Rich","448179","NYM","2021","adj_xhr","22.96",7,13,11,"52.4","21",20.3,"0.7"
"Márquez, Germán","608566","COL","2021","adj_xhr","21.97",7,19,7,"33.3","21",20.4,"0.6"
"Gray, Jon","592351","COL","2021","adj_xhr","24.28",8,12,10,"47.6","21",20.3,"0.7"
"López, Jorge","605347","BAL","2021","adj_xhr","24.46",5,13,10,"47.6","21",19,"2.0"
"Gausman, Kevin","592332","SF","2021","adj_xhr","23.64",13,13,12,"60","20",22.2,"-2.2"
"Morgan, Eli","669212","CLE","2021","adj_xhr","23.7",9,10,11,"55","20",18.5,"1.5"
"Gomber, Austin","596295","COL","2021","adj_xhr","23.03",8,14,7,"35","20",16.4,"3.6"
"Luzardo, Jesús","666200","MIA","2021","adj_xhr","23.9",6,10,12,"60","20",19.4,"0.6"
"Cease, Dylan","656302","CWS","2021","adj_xhr","23.27",13,18,7,"35","20",19.5,"0.5"
"Freeland, Kyle","607536","COL","2021","adj_xhr","22.74",6,8,12,"60","20",16.6,"3.4"
"Ober, Bailey","641927","MIN","2021","adj_xhr","23.64",12,16,7,"35","20",16.6,"3.4"
"Bundy, Dylan","605164","LAA","2021","adj_xhr","23.67",4,13,10,"50","20",19,"1.0"
"Rodriguez, Eduardo","593958","BOS","2021","adj_xhr","23.77",7,10,10,"50","20",17.4,"2.6"
"Smith, Caleb","592761","AZ","2021","adj_xhr","23.53",10,8,9,"45","20",16.3,"3.7"
"Weathers, Ryan","677960","SD","2021","adj_xhr","23.19",4,13,8,"40","20",17,"3.0"
"Gutierrez, Vladimir","661269","CIN","2021","adj_xhr","23.45",4,12,8,"40","20",16.3,"3.7"
"Montas, Frankie","593423","ATH","2021","adj_xhr","23.61",9,14,14,"70","20",22.4,"-2.4"
"Flexen, Chris","623167","SEA","2021","adj_xhr","23.51",15,17,9,"47.4","19",22.2,"-3.2"
"Harvey, Matt","518774","BAL","2021","adj_xhr","22.91",12,14,6,"31.6","19",19,"0.0"
"Richards, Garrett","572070","BOS","2021","adj_xhr","23.81",7,12,10,"52.6","19",18.2,"0.8"
"Castillo, Luis","622491","CIN","2021","adj_xhr","22.51",10,13,4,"21.1","19",13.6,"5.4"
"Gray, Josiah","680686","WSH","2021","adj_xhr","23.52",4,22,5,"26.3","19",20.6,"-1.6"
"Kaprielian, James","621076","ATH","2021","adj_xhr","22.63",5,15,10,"52.6","19",19.7,"-0.7"
"Urquidy, José","664353","HOU","2021","adj_xhr","23.75",10,10,11,"57.9","19",18,"1.0"
"Woodruff, Brandon","605540","MIL","2021","adj_xhr","21.83",3,17,5,"26.3","19",18.3,"0.7"
"Montgomery, Jordan","656756","NYY","2021","adj_xhr","22.48",15,19,4,"21.1","19",17.9,"1.1"
"Bauer, Trevor","545333","LAD","2021","adj_xhr","23.38",11,11,9,"47.4","19",17.3,"1.7"
