"last_name, first_name","player_id","team_name_alt","pitch_type","pitch_name","run_value_per_100","run_value","pitches","pitch_usage","pa","ba","slg","woba","whiff_percent","k_percent","put_away","est_ba","est_slg","est_woba","hard_hit_percent"
"Peralta, Freddy",642547,"MIL","FF","4-Seam Fastball",0,1,"1650",53.8,"405","0.239","0.424","0.338",25.2,26.9,19.1,"0.23","0.433","0.335",44.1
"Burnes, Corbin",669203,"BAL","FC","Cutter",1.3,17,"1348",45,"400","0.251","0.362","0.306",19,16,19.4,"0.257","0.393","0.311",31.9
"Gore, MacKenzie",669022,"WSH","FF","4-Seam Fastball",-0.2,-3,"1658",55.4,"392","0.281","0.418","0.369",22.6,19.9,17.3,"0.271","0.431","0.35",40.6
"Gausman, Kevin",592332,"TOR","FF","4-Seam Fastball",0.2,3,"1488",51.9,"391","0.281","0.475","0.359",17.4,16.6,16.8,"0.282","0.552","0.385",51.4
"Cease, Dylan",656302,"SD","SL","Slider",1.8,25,"1371",43,"361","0.159","0.257","0.208",44.7,39.1,25.4,"0.167","0.271","0.213",34.5
"Greene, Hunter",668881,"CIN","FF","4-Seam Fastball",1.4,19,"1415",55.2,"358","0.184","0.273","0.266",24.9,28.5,20.6,"0.197","0.336","0.29",39.4
"Rodón, Carlos",607074,"NYY","FF","4-Seam Fastball",0,1,"1531",49.4,"355","0.262","0.514","0.37",21.4,17.2,15,"0.271","0.568","0.389",50.6
"Imanaga, Shota",684007,"CHC","FF","4-Seam Fastball",0.3,4,"1343",51.9,"353","0.23","0.471","0.325",17.7,18.7,17.9,"0.235","0.459","0.319",45.3
"Sánchez, Cristopher",650911,"PHI","SI","Sinker",-0.4,-5,"1324",47.3,"344","0.345","0.481","0.406",13.1,9.3,12.3,"0.337","0.504","0.395",44.1
"Ragans, Cole",666142,"KC","FF","4-Seam Fastball",0.8,11,"1299",41.7,"342","0.21","0.349","0.3",23.2,26.3,22.3,"0.216","0.366","0.309",40.7
"Valdez, Framber",664285,"HOU","SI","Sinker",0.8,10,"1201",46.2,"340","0.28","0.411","0.344",11.6,10.3,21.7,"0.297","0.465","0.364",51.8
"Corbin, Patrick",571578,"WSH","SI","Sinker",-1.9,-20,"1030",35.7,"336","0.334","0.567","0.414",9.7,13.1,16.9,"0.333","0.563","0.41",55.3
"Parker, Mitchell",680730,"WSH","FF","4-Seam Fastball",0.1,1,"1168",48.6,"333","0.276","0.425","0.338",12,14.7,15.7,"0.279","0.494","0.36",41.4
