Name,Team,FB%,FBv,SL%,SLv,CT%,CTv,CB%,CBv,CH%,CHv,SF%,SFv,KN%,KNv,XX%,NameASCII,PlayerId,MLBAMID
"Kyle Finnegan","- - -",0.69111969,96.60538344,0.10600211,87.59437086,,,,,,,0.2028782,88.33188908,,,0.01398601,"Kyle Finnegan",15009,640448
"Luke Jackson","- - -",0.34395539,95.23045744,0.53316072,87.39798206,0.00398327,90.45,0.11850229,84.01848739,0.00039833,85.5,,,,,0.01172263,"Luke Jackson",11752,592426
"Dylan Floro","- - -",0.63168356,92.52350899,0.05446233,83.37591241,0.17332538,86.08986175,,,0.14052872,85.70579915,,,,,0.01072706,"Dylan Floro",13394,571670
"Will Smith","- - -",0.41969759,92.43448612,0.454434,81.51708633,,,0.0950143,77.12473118,0.03085411,86.18543046,,,,,0.01061875,"Will Smith",8048,519293
"Génesis Cabrera","- - -",0.52587646,96.44777699,0.15989612,89.50232019,,,0.19180115,80.30174081,0.10517529,89.28218695,0.01725097,85.13978495,,,0.01055947,"Genesis Cabrera",17490,650893
"Ryan Helsley","- - -",0.51790307,98.91825821,,,0.39327399,88.92857143,0.0785361,80.7884131,0.01028684,88.13461538,,,,,0.0100691,"Ryan Helsley",18138,664854
"Tim Hill","- - -",0.8830874,89.94921791,0.10026485,81.86792453,0.01645857,88.24137931,,,0.00018918,86,,,,,0.01001512,"Tim Hill",16814,657612
"Yimi García","- - -",0.5095301,95.31085587,0.27080581,83.78745645,0.1487073,89.51649746,,,0.0698245,88.13783784,0.00113229,90.66666667,,,0.00999811,"Yimi Garcia",12095,554340
"Carlos Estévez","- - -",0.64570575,97.15567893,0.2407767,87.8560794,,,0.00029873,83,0.11321882,88.77836412,,,,,0.00955795,"Carlos Estevez",14542,608032
"Aaron Bummer","- - -",0.58786909,94.32384988,0.26360726,82.51082544,0.08199929,87.87201735,0.06118819,81.18023256,0.00533618,86.83333333,,,,,0.00942725,"Aaron Bummer",16258,607481
"David Bednar","- - -",0.53300267,96.76476907,,,,,0.26516597,77.4942446,,,0.20183136,90.96975425,,,0.00895921,"David Bednar",19569,670280
"Raisel Iglesias","- - -",0.50047664,95.41492063,0.23403241,84.48369565,,,,,0.26549094,89.19509276,,,,,0.00857551,"Raisel Iglesias",17130,628452
"Kenley Jansen","- - -",0.29806085,92.77010193,0.11718489,82.25321888,0.58475426,92.67781589,,,,,,,,,0.00801737,"Kenley Jansen",3096,445276
"Emmanuel Clase","- - -",0.70533643,99.50548246,0.29466357,91.07555848,,,,,,,,,,,0.00772499,"Emmanuel Clase",21032,661403
"Chris Martin","- - -",0.5058698,95.12447257,0.08303095,84.27648579,0.28900747,91.69867061,,,,,0.12209178,88.24475524,,,0.00767591,"Chris Martin",11847,455119
"Tanner Scott","- - -",0.50148554,96.7592015,0.49835809,88.96391591,,,,,0.00015637,92,,,,,0.00766104,"Tanner Scott",17586,656945
"Luis García","- - -",0.53152826,97.39261286,0.30837725,83.2209782,0.00363438,87.9,,,,,0.15646011,87.86875726,,,0.00762527,"Luis Garcia",6984,472610
"Scott Barlow","- - -",0.33717617,93.50172877,0.43873057,83.36817242,,,0.2238342,78.37673611,0.00025907,87.5,,,,,0.00750712,"Scott Barlow",14993,605130
"Wandy Peralta","- - -",0.42412451,95.37833115,0.18862331,87.93418468,,,,,0.38706689,88.44683908,0.00018529,87,,,0.00739645,"Wandy Peralta",14295,593974
"Chad Green","- - -",0.66210317,95.783638,0.05575397,87.70462633,0.00119048,91.66666667,0.2765873,86.38809182,,,0.00436508,88.22727273,,,0.0073369,"Chad Green",15552,643338
"Buck Farmer","- - -",0.45976591,94.00677291,,,,,0.29791514,82.68243243,0.24231895,87.82641509,,,,,0.00730727,"Buck Farmer",14814,571656
"Taylor Rogers","- - -",0.47785235,94.0088308,0.51191275,80.61123891,0.00285235,88.47058824,0.00738255,78.59090909,,,,,,,0.00721234,"Taylor Rogers",13449,573124
"Austin Voth","- - -",0.46898966,93.27550658,0.12387462,84.7025572,0.13087696,89.2611465,0.25891964,77.75338055,0.01583861,86.10526316,0.0015005,87.77777778,,,0.00716189,"Austin Voth",15047,608723
"Tyler Kinley","- - -",0.356829,95.63160595,0.59318931,89.09382716,,,0.02673014,83.58219178,0.02325156,87.48031496,,,,,0.0069508,"Tyler Kinley",18297,641755
"Jason Adam","- - -",0.36071574,94.81905299,0.3253355,81.65228268,,,0.03334689,78.1402439,0.28060187,89.30624093,,,,,0.00690496,"Jason Adam",11861,592094
"Jack Flaherty","- - -",0.50960849,93.3237653,0.26573928,84.60080972,0.01771117,88.65182186,0.18327836,77.34976526,0.0236627,85.70121951,,,,,0.00663102,"Jack Flaherty",17479,656427
"Adam Ottavino","- - -",0.44513781,93.73676012,0.41272318,80.61948761,0.09013694,87.85576923,,,0.03882822,87.59821429,0.01317386,88.96052632,,,0.00657895,"Adam Ottavino",1247,493603
"Kevin Gausman","- - -",0.53224509,94.51128632,0.0859869,83.375,,,0.00017243,75,0.02322106,83.97277228,0.35837453,85.02213667,,,0.00657481,"Kevin Gausman",14107,592332
"Griffin Jax","- - -",0.37280778,95.34373544,0.42038548,86.64147047,0.01354402,93.02564103,0.04254211,82.37142857,0.15072061,90.27764977,,,,,0.00607639,"Griffin Jax",20253,643377
"Jorge López","- - -",0.55357143,95.37892179,0.09258806,87.31571995,,,0.24156067,82.31677648,0.11227984,88.41721133,,,,,0.00599022,"Jorge Lopez",14527,605347
"Jeff Hoffman","- - -",0.50328036,95.08632677,0.24158041,85.63126132,,,0.0852894,77.32991453,0.16984983,88.03004292,,,,,0.00538966,"Jeff Hoffman",17432,656546
"Jaime Barria","LAA",0.40618633,92.37802098,0.46027042,85.04949698,,,,,0.13354325,84.36061026,,,,,0.00536838,"Jaime Barria",18356,642545
"Trevor Richards","- - -",0.46639959,92.0895481,0.06241923,84.26086957,0.03217886,85.22580645,0.02106487,78.94478528,0.41793745,82.53572533,,,,,0.00516596,"Trevor Richards",19309,670950
"Phil Maton","- - -",0.46133333,90.51020408,0.20454902,82.28911043,0.01694118,88.05555556,0.31717647,75.46290801,,,,,,,0.00501489,"Phil Maton",18064,664208
"Ryne Stanek","- - -",0.58769755,97.94516214,0.21382089,88.14949202,,,,,,,0.19848156,88.65027322,,,0.0049574,"Ryne Stanek",15947,592773
"Gregory Soto","- - -",0.6590977,97.45784225,0.3289513,87.05676658,,,,,0.011951,88.8625,,,,,0.00492684,"Gregory Soto",19677,642397
"Reid Detmers","LAA",0.45115385,94.09008241,0.28051282,87.44789762,,,0.18769231,74.16188525,0.08064103,84.57074722,,,,,0.00474055,"Reid Detmers",27468,672282
"Héctor Neris","- - -",0.54355943,93.73640527,0.03189172,86.89705882,,,,,0.00388923,88.84,0.42065961,84.71412722,,,0.00466273,"Hector Neris",11804,593576
"Hoby Milner","- - -",0.50328358,88.4729142,0.34109453,79.09509918,,,,,0.15562189,81.21994885,,,,,0.00457438,"Hoby Milner",13346,571948
"Aroldis Chapman","- - -",0.65530047,98.67825863,0.25624578,86.32476943,,,,,0.0001688,88,0.08828494,90.07265774,,,0.00438153,"Aroldis Chapman",10233,547973
"Matt Strahm","- - -",0.53795171,92.93575829,0.25280101,84.51872659,0.06832886,87.66050808,0.08142654,81.03100775,0.05949187,85.25994695,,,,,0.004258,"Matt Strahm",13799,621381
"Jon Gray","- - -",0.47692567,95.4559448,0.37501055,87.1598739,,,0.06664979,77.93037975,0.08141399,88.1761658,,,,,0.00412701,"Jon Gray",14916,592351
"Keegan Akin","BAL",0.55532459,93.09619816,0.2532779,85.14520202,,,0.02094659,76.81679389,0.17045091,83.98592871,,,,,0.00399553,"Keegan Akin",19362,669211
"Dakota Hudson","- - -",0.56961147,92.26492083,0.26630435,86.68796176,0.0003469,91,0.12118409,81.07442748,0.04255319,85.4076087,,,,,0.00393018,"Dakota Hudson",19206,641712
"Emilio Pagán","- - -",0.58315064,95.3990333,0.28953962,86.90481341,,,0.01362355,80.95402299,0.00187911,86.91666667,0.11180708,86.08123249,,,0.00391175,"Emilio Pagan",14771,641941
"Andrew Chafin","- - -",0.63994841,92.05557155,0.35710337,82.81714876,,,,,0.00294822,85.4375,,,,,0.00386883,"Andrew Chafin",12988,605177
"Edwin Díaz","NYM",0.55876968,97.96885246,0.44049799,89.95051975,,,,,0.00073233,94,,,,,0.00384334,"Edwin Diaz",14710,621242
"Josh Hader","- - -",0.70498849,96.10052562,0.26876439,83.88406625,,,,,0.02624712,88.30994152,,,,,0.00383436,"Josh Hader",14212,623352
"Johan Oviedo","- - -",0.46872461,95.56360485,0.33842405,87.11233797,0.00016247,95,0.13631194,79.43384982,0.05637693,87.70028818,,,,,0.00372892,"Johan Oviedo",22487,670912
"Giovanny Gallegos","STL",0.5100451,93.94453376,0.45469455,85.26239856,,,,,0.03526035,87.14534884,,,,,0.00368777,"Giovanny Gallegos",14986,606149
"Jalen Beeks","- - -",0.47958501,93.88582402,0.00468541,83.25,0.08818608,85.40607211,0.06174699,75.3902439,0.36579652,88.85590119,,,,,0.00368016,"Jalen Beeks",17192,656222
"Erick Fedde","- - -",0.40286299,93.09624365,0.23451943,80.7816533,0.2600409,89.5608682,,,0.04106339,86.83665339,0.06151329,87.6875,,,0.00367827,"Erick Fedde",17425,607200
"Adam Wainwright","STL",0.38398915,88.73205213,,,0.22879919,84.4892513,0.34023066,73.43270189,0.04520014,82.34709193,0.00178087,85.42857143,,,0.00364438,"Adam Wainwright",2233,425794
"Taylor Clarke","- - -",0.44184028,94.64701258,0.32013889,87.35791757,,,0.07517361,81.53810624,0.16284722,88.79850746,,,,,0.00364394,"Taylor Clarke",17611,664199
"José Suarez","- - -",0.46178344,92.46180446,0.12217719,81.84952607,0.00535611,87.05405405,0.13752171,77.54968288,0.27316155,82.36165693,,,,,0.0036169,"Jose Suarez",19911,660761
"Griffin Canning","- - -",0.38446095,93.83179784,0.27102991,88.23114264,0.00532022,89.69811321,0.12818711,82.37223975,0.21100181,89.1708134,,,,,0.00360288,"Griffin Canning",19867,656288
"Vince Velasquez","- - -",0.57311029,93.57285753,0.20508055,85.11102719,0.00061958,89.5,0.13429368,82.34948097,0.08689591,88.64171123,,,,,0.00356092,"Vince Velasquez",11189,592826
"Noah Syndergaard","- - -",0.52346736,95.59217061,0.15532793,86.8257874,0.02706008,89.62146893,0.10885186,78.53230337,0.18468124,89.27152318,0.00061153,87.75,,,0.00350824,"Noah Syndergaard",11762,592789
"Chris Stratton","- - -",0.49979006,92.61997187,0.19748076,86.00213675,,,0.20881735,79.98592493,0.09391183,86.03012048,,,,,0.0034965,"Chris Stratton",13761,608717
"Matthew Liberatore","STL",0.47121379,94.25603113,0.20113678,86.84320875,0.07609094,90.80722892,0.15621562,76.77816901,0.09534287,87.91346154,,,,,0.00348177,"Matthew Liberatore",22294,669461
"José Soriano","LAA",0.58342923,97.63564356,0.05715382,90.02020202,,,0.28174147,85.92112483,,,0.07767549,92.39753086,,,0.00325733,"Jose Soriano",22100,667755
"Matthew Boyd","- - -",0.50492923,92.2300406,0.25134212,80.12194175,,,0.07369449,73.48344371,0.17003416,79.47990815,,,,,0.00321543,"Matthew Boyd",15440,571510
"Garrett Whitlock","BOS",0.54050279,95.25064599,0.22905028,82.8510453,0.01237031,86.67741935,,,0.21807662,83.76007326,,,,,0.00319234,"Garrett Whitlock",20191,676477
"Tanner Houck","BOS",0.42448709,93.91269099,0.39192588,83.83485309,0.02991396,90.66814159,,,,,0.15367306,88.22652885,,,0.00317502,"Tanner Houck",19879,656557
"Clay Holmes","- - -",0.58518706,95.45626221,0.28159757,85.23052679,0.02906977,89.93043478,0.04828109,81.99191375,0.05586451,88.08863636,,,,,0.00315736,"Clay Holmes",13649,605280
"Luis Ortiz","- - -",0.52211896,95.93164827,0.28736059,85.9003881,0.11133829,91.02170284,,,0.07918216,89.6314554,,,,,0.00315692,"Luis Ortiz",27646,682847
"Trent Thornton","- - -",0.41763479,93.58487874,0.2077748,81.36487455,0.16800715,89.11524823,0.15192136,80.27941176,0.0546619,83.96730245,,,,,0.00312547,"Trent Thornton",17948,663423
"Tyler Alexander","- - -",0.41336406,90.32162765,0.16785714,80.24090597,0.25645161,85.95238095,,,0.16232719,83.14194464,,,,,0.00311024,"Tyler Alexander",17735,641302
"Kolby Allard","- - -",0.47218676,91.29084589,,,0.24968083,86.22279036,0.10724056,74.63945578,0.17089185,82.56350053,,,,,0.00309993,"Kolby Allard",18694,663465
"José Ureña","- - -",0.56158615,95.41354167,0.27067493,86.4178911,,,,,0.16399579,89.22681883,0.00374313,85.03125,,,0.00304058,"Jose Urena",11589,570632
"Joe Jiménez","- - -",0.59096946,95.08606294,0.34016316,84.80591188,,,,,0.06886739,89.80165289,,,,,0.00303318,"Joe Jimenez",15761,641729
"Anthony DeSclafani","- - -",0.47404388,94.16666667,0.328258,88.03799781,,,0.10838029,82.84845133,0.07397195,87.80551053,0.01534588,83.6640625,,,0.00299616,"Anthony DeSclafani",13050,543101
"Ryan Yarbrough","- - -",0.26047904,87.04238506,0.20247006,71.6155268,0.30323728,83.04689911,,,0.23381362,78.59743898,,,,,0.00299261,"Ryan Yarbrough",16502,642232
"Josiah Gray","- - -",0.40709136,94.07809111,0.2721789,85.41189189,0.09003972,88.54411765,0.20567898,82.80686695,0.01677211,88.42982456,0.00823893,87.92857143,,,0.00294118,"Josiah Gray",24580,680686
"Antonio Senzatela","COL",0.58733999,94.37120302,0.24513658,85.97450658,,,0.09162383,79.23542354,0.07005342,86.64604317,0.00584618,88.0862069,,,0.00292221,"Antonio Senzatela",15488,622608
"Joey Wentz","- - -",0.42740768,93.36425244,0.02317161,84.109375,0.26810282,85.73531398,0.15296886,78.48994083,0.12834902,85.28913963,,,,,0.00289488,"Joey Wentz",19962,666214
"Reynaldo López","- - -",0.57630321,96.04803241,0.26842281,85.58799172,,,0.0662443,77.75671141,0.08902968,84.74656679,,,,,0.00288536,"Reynaldo Lopez",16400,625643
"Brandon Pfaadt","ARI",0.52054608,93.61211644,0.23686007,84.61613833,0.03508532,89.90661479,0.07331058,81.2122905,0.13269625,87.2973251,0.00150171,89.81818182,,,0.00286338,"Brandon Pfaadt",27782,694297
"Merrill Kelly","- - -",0.43492104,92.13369454,0.03158431,85.64314516,0.18804126,90.63968845,0.14372134,81.49003101,0.20173204,88.04861111,,,,,0.00286278,"Merrill Kelly",11156,518876
"Seth Lugo","- - -",0.47163121,93.08052091,0.17851583,83.31782946,0.04731015,89.59780622,0.22876665,79.46686861,0.06261892,86.97925311,0.01115724,85.5503876,,,0.00285368,"Seth Lugo",12447,607625
"Michael King","- - -",0.56062291,93.86438809,0.11506612,82.72932331,0.03732542,85.24834437,0.1029539,81.74309724,0.18403164,86.67897918,,,,,0.00284231,"Michael King",19853,650633
"Drew Smyly","- - -",0.43247846,92.09969859,,,0.14025245,88.00071429,0.41664997,78.77542169,0.01061911,82.36792453,,,,,0.00280336,"Drew Smyly",11760,592767
"Madison Bumgarner","- - -",0.3802212,90.82278123,0.34671964,86.69321351,,,0.19692902,78.30387343,0.07613014,84.67559944,,,,,0.0027918,"Madison Bumgarner",5524,518516
"Tyler Rogers","- - -",0.60346802,82.90997831,0.39653198,72.66831888,,,,,,,,,,,0.0027805,"Tyler Rogers",15541,643511
"Shawn Armstrong","- - -",0.57380797,94.12293682,0.05225343,85.11875,0.3130307,90.58789776,0.0609079,84.06970509,,,,,,,0.0027737,"Shawn Armstrong",12857,542888
"Chase Anderson","- - -",0.3966725,92.95311923,0.04582604,80.95541401,0.21584939,89.04338983,0.08231173,77.67736185,0.25934034,83.07562077,,,,,0.0027713,"Chase Anderson",6895,502624
"Dustin May","- - -",0.54345307,96.38628287,,,0.16898416,92.34514286,0.26303592,85.50734214,0.02452684,89.92125984,,,,,0.0027027,"Dustin May",19716,669160
"Brent Suter","- - -",0.69042351,86.99908173,0.09371049,78.50940171,,,0.01596081,74.73267327,0.19990518,77.54782609,,,,,0.00268605,"Brent Suter",13942,608718
