Name,Team,wFB,wSL,wCT,wCB,wCH,wSF,wKN,wFB/C,wSL/C,wCT/C,wCB/C,wCH/C,wSF/C,wKN/C,NameASCII,PlayerId,MLBAMID
"George Kirby","SEA",52.35257911682129,7.520231246948242,0.08752450346946716,-4.241384983062744,-4.6334187388420105,-6.627240896224976,-0.029222793877124786,0.9032536079506779,0.33172612469996654,0.7956773042678833,-0.385580453005704,-1.883503552374801,-1.2115614069881127,-0.9740931292374929,"George Kirby",25436,669923
"Joe Ryan","MIN",72.29655194282532,-18.94748079031706,,0.6520404070615768,-5.0808926820755005,-8.909052729606628,-0.03638676553964615,1.1786200186309963,-0.9005456649390237,,0.21033561518115385,-1.525793598220871,-0.5919636365187129,-3.638676553964615,"Joe Ryan",21390,657746
"Mike Minor","- - -",9.21763026714325,-23.36057935655117,,-7.924144759774208,16.03513216972351,,-0.03891072794795036,0.23973030603753576,-1.254596098633253,,-0.7641412497371464,0.8168686790485741,,-3.8910727947950363,"Mike Minor",10021,501985
"Miles Mikolas","STL",13.808253467082977,-5.987403154373169,,-18.691137611865997,-13.542417824268341,5.422179080545902,-0.5491153597831726,0.1839628759270314,-0.1557191977730343,,-0.6663507170005702,-2.708483564853668,1.204928684565756,-54.91153597831726,"Miles Mikolas",9803,571945
"Adam Ottavino","- - -",15.584702461957932,19.29618889093399,-10.909129679203033,,1.8705268651247025,-0.6065165996551514,,0.6068809369921313,0.8104237249447288,-2.097909553692891,,0.8350566362163849,-0.7980481574409887,,"Adam Ottavino",1247,493603
"Zack Greinke","- - -",9.315709315240383,-4.74640965461731,-1.4795482158660889,13.784123286604881,23.821409195661545,,,0.1862396904286362,-0.26620357008509865,-0.3966617200713375,0.7467022365441431,1.0648819488449506,,,"Zack Greinke",1943,425844
"Clayton Kershaw","LAD",16.08767831325531,76.69159224629402,,12.13845969736576,-2.225230760872364,-1.5063827633857727,,0.35718646343817295,1.5731608665906467,,0.6299148779120789,-5.427392099688693,-0.9356414679414736,,"Clayton Kershaw",2036,477132
"Adam Wainwright","STL",-20.770988941192627,,-1.2941533923149109,29.85489320755005,-4.517113968729973,-1.0749849081039429,,-0.45872325400160396,,-0.04796713833635696,0.7441399104573792,-0.8474885494802951,-5.118975752875919,,"Adam Wainwright",2233,425794
"Corey Kluber","- - -",-38.37033250182867,,-0.37265150249004364,1.941990539431572,6.966244459152222,,,-2.3540081289465444,,-0.022421871389292636,0.13174969738341738,1.0800379006437553,,,"Corey Kluber",2429,446372
"Lance Lynn","- - -",53.61232614517212,3.101603388786316,-6.024858593940735,-12.774574667215347,-14.749659180641174,-0.9449612498283386,,0.5687103653884812,0.15423189402219373,-0.34785557701736347,-1.3183255590521514,-3.0664572101125103,-0.5338764123323947,,"Lance Lynn",2520,458681
"Kenley Jansen","- - -",4.388939261436462,8.457508504390717,47.49382662773132,,,,,0.24615475386631872,1.2064919407119425,1.3577423278368017,,,,,"Kenley Jansen",3096,445276
