Name,Team,W,L,ERA,G,GS,QS,CG,ShO,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,NameASCII,PlayerId,MLBAMID
"Zack Wheeler","- - -",80,45,3.0808969961756723,188,188,124,4,2,0,0,0,1174.1,4731,971,435,402,113,270,8,49,23,1,1289,"Zack Wheeler",10310,554430
"Aaron Nola","PHI",68,61,4.06569776458957,192,192,95,6,4,0,0,0,1146.2,4714,1029,546,518,161,294,7,39,11,1,1279,"Aaron Nola",16149,605400
"Gerrit Cole","- - -",79,33,2.9835278358999844,158,158,105,6,4,0,0,0,971.1,3835,735,345,322,131,233,1,22,17,7,1241,"Gerrit Cole",13125,543037
"Dylan Cease","- - -",65,58,3.8824688893522965,188,188,69,3,3,0,0,0,1015.1,4304,854,482,438,121,430,9,35,56,3,1231,"Dylan Cease",18525,656302
"Luis Castillo","- - -",71,65,3.477568725596675,197,197,116,1,0,0,0,0,1151.2,4757,986,487,445,135,372,6,40,13,5,1230,"Luis Castillo",15689,622491
"Kevin Gausman","- - -",68,59,3.5828992060500786,201,185,99,3,2,0,2,0,1087.2,4490,984,472,433,118,287,6,18,22,9,1213,"Kevin Gausman",14107,592332
"Charlie Morton","- - -",72,53,4.012252660415895,199,193,80,0,0,0,0,0,1061,4515,938,503,473,123,408,6,95,24,6,1202,"Charlie Morton",4676,450203
"Sonny Gray","- - -",66,50,3.5121233076481584,184,184,84,1,1,0,0,0,1017.1,4184,861,427,397,105,312,2,35,41,4,1136,"Sonny Gray",12768,543243
"José Berríos","- - -",79,56,3.951219554942446,203,202,109,3,0,0,0,0,1175.1,4913,1110,555,516,167,329,6,67,25,3,1091,"Jose Berrios",14168,621244
"Corbin Burnes","- - -",56,38,3.1741936655669796,180,149,91,0,0,1,4,0,930,3762,729,363,328,100,269,1,35,40,6,1079,"Corbin Burnes",19361,669203
"Zac Gallen","- - -",66,52,3.5827266891687857,176,176,88,2,2,0,0,0,1007.1,4142,843,425,401,117,324,3,36,33,1,1060,"Zac Gallen",19291,668678
"Freddy Peralta","MIL",64,38,3.5254106530572877,195,148,60,1,0,1,8,3,852.2,3532,645,355,334,110,320,2,44,28,5,1057,"Freddy Peralta",18679,642547
"Chris Bassitt","- - -",79,51,3.600551800285092,192,188,94,3,2,0,0,0,1087.1,4575,997,469,435,129,333,5,80,25,10,1042,"Chris Bassitt",12304,605135
"Max Scherzer","- - -",62,35,3.215299776436321,145,145,80,2,0,0,0,0,845.1,3402,694,315,302,118,194,3,36,15,0,1040,"Max Scherzer",3137,453286
"Lucas Giolito","- - -",58,49,3.997097278341856,161,161,80,5,3,0,0,0,918.2,3818,794,438,408,141,327,5,22,33,0,1028,"Lucas Giolito",15474,608337
"Framber Valdez","HOU",77,51,3.4062600825133664,180,161,105,9,3,0,0,0,1043.2,4329,890,434,395,84,365,1,54,56,7,1019,"Framber Valdez",17295,664285
"Yusei Kikuchi","- - -",48,58,4.463562882291051,199,187,64,1,1,1,0,0,988,4243,986,535,490,165,356,3,29,36,1,1011,"Yusei Kikuchi",20633,579328
"Yu Darvish","- - -",58,48,3.8060362081305756,158,158,77,0,0,0,0,0,905.2,3681,750,395,383,132,235,3,50,34,2,1005,"Yu Darvish",13074,506433
"Blake Snell","- - -",49,42,3.2490119393543937,148,148,63,1,1,0,0,0,759,3143,573,290,274,75,347,3,10,59,4,1002,"Blake Snell",13543,605483
"Nick Pivetta","- - -",54,52,4.194748531746987,195,151,57,2,0,3,4,1,914,3829,800,449,426,148,319,7,25,34,3,1001,"Nick Pivetta",15454,601713
"Robbie Ray","- - -",53,43,3.8633792141998238,149,148,70,1,0,0,0,0,824.2,3449,688,375,354,136,336,6,27,35,1,995,"Robbie Ray",11486,592662
"Logan Webb","SFG",70,53,3.380295003860536,180,177,102,3,2,0,1,0,1062.1,4350,1020,440,399,74,250,4,36,22,1,994,"Logan Webb",17995,657277
"Max Fried","- - -",90,36,3.017647149109101,177,174,101,6,4,0,0,0,1020,4152,891,378,342,84,265,5,39,45,3,986,"Max Fried",13743,608331
"Patrick Corbin","- - -",54,88,5.01451926456123,201,200,82,3,1,0,0,0,1102,4811,1235,655,614,177,359,8,23,22,1,963,"Patrick Corbin",9323,571578
"Pablo López","- - -",57,49,3.793306431818354,162,162,79,1,1,0,0,0,906.1,3748,827,405,382,107,233,7,49,24,4,948,"Pablo Lopez",17085,641154
"Carlos Rodón","- - -",67,43,3.5649597695317814,145,143,65,2,1,0,0,1,787.2,3248,618,333,312,98,266,1,36,39,2,936,"Carlos Rodon",16137,607074
"Lance Lynn","- - -",61,42,3.9633028216458737,150,150,74,2,1,0,0,0,872,3691,803,431,384,131,259,3,39,35,0,935,"Lance Lynn",2520,458681
"Jack Flaherty","- - -",55,45,3.8162932671625227,156,151,66,0,0,0,1,0,818.1,3411,705,366,347,111,282,6,42,29,0,928,"Jack Flaherty",17479,656427
"Merrill Kelly","- - -",65,53,3.7666116177470514,172,172,88,0,0,0,0,0,1008.1,4143,907,448,422,130,300,10,17,15,9,911,"Merrill Kelly",11156,518876
