Rk.,Team,Venue,Year,Park Factor,wOBAcon,xwOBAcon,BACON,xBACON,HardHit,R,OBP,H,1B,2B,3B,HR,BB,SO,PA
1, Rockies,Coors Field,2023-2025,112,112,102,113,103,100,125,112,115,115,117,173,105,110,92,"21,603"
2, Red Sox,Fenway Park,2023-2025,107,105,101,107,102,102,114,108,110,106,144,94,87,98,89,"26,454"
3, Reds,Great American Ball Park,2023-2025,103,105,98,102,99,94,106,101,100,95,99,92,126,100,107,"21,402"
4, Marlins,loanDepot park,2023-2025,103,103,102,104,101,101,106,102,106,109,104,119,98,96,98,"22,580"
5, Phillies,Citizens Bank Park,2023-2025,103,106,102,103,101,102,106,101,101,97,93,102,128,104,105,"24,045"
6, Orioles,Oriole Park at Camden Yards,2023-2025,102,103,102,101,101,104,104,100,104,103,91,94,125,93,97,"26,711"
7, Nationals,Nationals Park,2023-2025,102,99,103,101,103,101,104,102,106,111,100,89,97,91,86,"25,696"
8, Astros,Daikin Park,2023-2025,102,103,102,102,101,101,104,101,100,98,96,106,110,106,105,"18,918"
9, Twins,Target Field,2023-2025,102,105,102,105,101,101,104,102,101,101,103,94,102,100,106,"25,367"
10, D-backs,Chase Field,2023-2025,101,99,96,101,98,99,102,101,103,103,110,222,77,98,95,"26,416"
11, Pirates,PNC Park,2023-2025,100,99,102,100,101,103,100,101,101,98,121,78,87,100,97,"22,402"
12, White Sox,Rate Field,2023-2025,100,98,98,99,98,95,100,101,98,102,88,78,96,109,99,"23,622"
13, Royals,Kauffman Stadium,2023-2025,100,96,99,98,100,103,100,103,102,102,114,181,73,103,88,"23,510"
14, Yankees,Yankee Stadium,2023-2025,100,98,100,96,98,103,100,100,94,91,91,57,118,113,98,"26,109"
15, Tigers,Comerica Park,2023-2025,100,102,101,101,101,100,100,99,101,101,91,200,99,94,102,"23,409"
16, Braves,Truist Park,2023-2025,100,103,102,103,102,100,100,100,102,106,89,82,109,93,105,"23,517"
17, Dodgers,Dodger Stadium,2023-2025,99,99,103,96,101,104,98,97,95,91,95,62,119,96,102,"26,412"
18, Cardinals,Busch Stadium,2023-2025,99,97,100,99,100,100,98,100,103,107,100,79,89,95,92,"22,690"
19, Angels,Angel Stadium,2023-2025,98,98,97,97,96,96,96,98,95,95,86,99,108,103,103,"20,317"
20, Mets,Citi Field,2023-2025,98,97,97,96,97,100,96,100,93,93,93,63,98,110,103,"25,165"
21, Cubs,Wrigley Field,2023-2025,98,99,100,100,100,101,96,98,98,100,91,137,95,99,107,"23,382"
22, Rangers,Globe Life Field,2023-2025,98,97,101,97,100,102,96,97,98,98,99,65,102,100,99,"24,137"
23, Blue Jays,Rogers Centre,2023-2025,98,99,98,98,99,96,96,97,96,91,107,78,102,99,107,"22,336"
24, Padres,Petco Park,2023-2025,97,95,98,96,98,98,94,98,95,97,99,57,90,104,99,"24,887"
25, Guardians,Progressive Field,2023-2025,96,95,97,96,99,94,92,97,98,99,102,51,93,95,97,"29,512"
26, Brewers,American Family Field,2023-2025,96,98,97,97,99,94,92,97,93,95,78,105,100,108,113,"24,157"
27, Giants,Oracle Park,2023-2025,96,96,99,99,100,102,92,97,100,104,102,121,78,93,100,"23,385"
28, Mariners,T-Mobile Park,2023-2025,93,96,100,96,101,102,86,93,92,93,95,48,95,93,115,"24,660"
