Rk.,Team,Venue,Year,Park Factor,wOBAcon,xwOBAcon,BACON,xBACON,HardHit,R,OBP,H,1B,2B,3B,HR,BB,SO,PA
1, Rockies,Coors Field,2023-2025,113,112,101,113,102,101,128,111,118,117,121,234,106,93,90,"34,685"
2, D-backs,Chase Field,2023-2025,105,103,103,103,103,104,110,104,106,103,118,177,97,100,93,"31,304"
3, Angels,Angel Stadium,2023-2025,103,105,101,103,100,100,106,102,100,99,92,96,116,104,107,"34,655"
4, Dodgers,Dodger Stadium,2023-2025,103,103,101,99,100,98,106,100,99,93,96,67,135,106,98,"33,661"
5, Twins,Target Field,2023-2025,103,104,101,103,99,100,106,102,103,99,117,103,102,100,101,"31,002"
6, Red Sox,Fenway Park,2023-2025,102,104,98,106,98,99,104,103,104,107,103,96,90,96,104,"29,773"
7, Reds,Great American Ball Park,2023-2025,102,102,98,100,99,94,104,101,100,96,99,57,121,106,100,"33,918"
8, Royals,Kauffman Stadium,2023-2025,102,100,104,100,103,104,104,102,105,104,112,186,93,97,90,"31,866"
9, Blue Jays,Rogers Centre,2023-2025,101,99,100,98,99,102,102,101,101,101,102,62,105,101,91,"34,412"
10, Braves,Truist Park,2023-2025,101,103,104,103,103,105,102,101,101,102,98,101,101,104,106,"32,656"
11, Tigers,Comerica Park,2023-2025,101,99,99,99,99,98,102,101,99,99,97,82,100,106,96,"31,812"
12, Cardinals,Busch Stadium,2023-2025,100,98,101,100,102,103,100,101,104,107,108,83,85,97,91,"32,124"
13, Nationals,Nationals Park,2023-2025,100,98,99,100,100,102,100,101,102,106,96,115,91,97,93,"29,153"
14, Marlins,loanDepot park,2023-2025,100,99,100,100,101,100,100,101,101,102,109,117,84,98,97,"33,790"
15, Astros,Daikin Park,2023-2025,99,100,97,100,98,96,98,99,100,101,96,77,103,96,101,"36,612"
16, Phillies,Citizens Bank Park,2023-2025,99,101,96,100,98,98,98,97,100,100,99,98,103,89,103,"32,422"
17, Yankees,Yankee Stadium,2023-2025,99,100,104,97,102,105,98,98,94,91,89,69,119,111,105,"33,041"
18, Mets,Citi Field,2023-2025,99,98,102,96,101,102,98,99,94,93,87,83,109,110,102,"31,728"
19, Brewers,American Family Field,2023-2025,99,100,99,99,99,98,98,98,95,93,93,70,110,105,107,"33,132"
20, Orioles,Oriole Park at Camden Yards,2023-2025,98,99,103,101,102,105,96,98,102,104,103,161,87,88,101,"28,491"
21, Pirates,PNC Park,2023-2025,98,96,99,100,101,102,96,101,101,105,110,90,68,100,96,"33,391"
22, Padres,Petco Park,2023-2025,98,99,101,97,99,98,96,97,96,96,87,74,113,103,104,"32,010"
23, White Sox,Rate Field,2023-2025,98,98,99,99,99,98,96,98,98,100,94,62,96,99,101,"33,451"
24, Guardians,Progressive Field,2023-2025,97,98,99,100,101,98,94,99,97,97,112,108,75,106,106,"26,128"
25, Rangers,Globe Life Field,2023-2025,97,97,99,96,97,101,94,96,96,96,93,83,105,100,102,"32,235"
26, Giants,Oracle Park,2023-2025,97,97,96,99,97,97,94,98,101,104,102,124,84,87,96,"31,636"
27, Cubs,Wrigley Field,2023-2025,96,95,99,95,100,99,92,96,95,97,83,95,102,100,100,"32,422"
28, Mariners,T-Mobile Park,2023-2025,90,93,98,92,98,94,81,91,87,87,85,57,91,100,118,"30,667"
